ff_id,INT15,INT15_SE,city
1,0.844,0.301,1
2,-0.074,0.339,1
4,0.941,0.31,1
5,0.865,0.309,1
6,-0.729,0.503,1
7,0.269,0.311,1
8,-0.433,0.404,1
11,-1.2,0.624,1
13,-0.158,0.367,1
16,-1.2,0.624,1
19,0.51,0.322,1
20,1.954,0.316,1
21,-1.371,0.627,1
22,0.146,0.36,1
24,-1.371,0.627,1
26,0.169,0.336,1
28,-0.497,0.426,1
29,-1.371,0.627,1
30,1.717,0.312,1
31,0.004,0.351,1
38,0.751,0.305,1
41,-0.192,0.373,1
42,0.116,0.347,1
43,-0.208,0.362,1
45,-1.371,0.627,1
47,1.285,0.311,1
48,1.197,0.304,1
49,-0.202,0.399,1
52,0.953,0.312,1
54,-0.348,0.385,1
55,0.091,0.319,1
58,-0.028,0.35,1
59,0.169,0.359,1
61,-0.346,0.391,1
63,-0.681,0.448,1
66,-1.371,0.627,1
68,-1.371,0.627,1
69,-0.217,0.37,1
70,-1.371,0.627,1
71,-1.371,0.627,1
73,1.257,0.309,1
74,-1.044,0.539,1
75,-0.853,0.505,1
77,0.3,0.311,1
78,1.235,0.303,1
79,-0.415,0.416,1
81,0.23,0.329,1
82,-0.078,0.345,1
83,0.087,0.318,1
84,1.523,0.317,1
86,0.618,0.312,1
87,-0.449,0.406,1
88,0.639,0.303,1
89,0.282,0.334,1
91,1.227,0.309,1
95,-0.199,0.356,1
96,1.179,0.305,1
97,1.835,0.313,1
98,1.096,0.304,1
100,0.947,0.313,1
101,-0.477,0.413,1
102,-0.382,0.416,1
103,0.64,0.292,1
104,0.183,0.32,1
105,0.874,0.309,1
106,-0.155,0.375,1
107,1.606,0.308,1
109,-0.344,0.386,1
110,0.3,0.328,1
112,0.254,0.342,1
114,-0.137,0.362,1
116,-0.475,0.402,1
117,1.12,0.31,1
118,0.735,0.315,1
120,-1.044,0.539,1
122,0.379,0.337,1
126,-0.824,0.5,1
127,-0.656,0.461,1
128,1.441,0.317,1
130,-0.62,0.455,1
132,0.149,0.352,1
133,-0.467,0.419,1
135,0.266,0.311,1
136,-0.094,0.359,1
137,1.419,0.307,1
139,-0.141,0.364,1
144,0.27,0.314,1
146,0.643,0.302,1
147,0.404,0.33,1
148,-0.197,0.391,1
151,0.048,0.335,1
156,-0.853,0.505,1
158,-0.882,0.507,1
159,1.545,0.315,1
160,-0.417,0.409,1
161,2.086,0.332,1
162,0.9,0.32,1
164,-0.389,0.378,1
165,0.213,0.345,1
166,0.993,0.315,1
167,0.35,0.332,1
168,1.543,0.318,1
170,1.38,0.307,1
171,-0.975,0.528,1
172,-1.371,0.627,1
173,-0.072,0.353,1
175,-0.426,0.409,1
178,-1.044,0.539,1
179,0.151,0.332,1
181,1.356,0.306,1
182,-1.371,0.627,1
185,-0.672,0.469,1
187,1.333,0.318,1
188,-0.673,0.462,1
190,-1.371,0.627,1
191,0.502,0.309,1
194,-1.371,0.627,1
195,0.364,0.32,1
197,-0.194,0.367,1
198,0.027,0.359,1
200,0.923,0.309,1
202,-0.035,0.35,1
203,0.643,0.313,1
204,-0.235,0.399,1
205,-0.605,0.424,1
207,0.875,0.319,1
209,-0.673,0.462,1
210,-0.007,0.359,1
211,0.302,0.335,1
212,0.331,0.336,1
216,1.129,0.301,1
217,0.931,0.306,1
218,0.321,0.313,1
219,-1.371,0.627,1
221,0.829,0.324,1
222,-0.103,0.348,1
227,-1.044,0.539,1
228,0.135,0.351,1
231,-1.038,0.532,1
232,-0.774,0.455,1
237,0.524,0.333,1
238,0.291,0.319,1
239,0.725,0.3,1
242,-0.385,0.401,1
243,0.243,0.343,1
244,1.076,0.305,1
245,0.909,0.311,1
246,0.787,0.319,1
248,-1.371,0.627,1
249,0.116,0.343,1
250,-0.853,0.505,1
251,0.067,0.356,1
252,0.865,0.317,1
253,-0.139,0.383,1
254,-0.102,0.334,1
255,1.388,0.312,1
259,0.735,0.305,1
263,0.464,0.324,1
267,0.911,0.31,1
269,0.973,0.305,1
271,1.348,0.302,1
272,1.014,0.305,1
274,0.202,0.341,1
275,-0.218,0.366,1
276,-0.35,0.401,1
277,-0.032,0.33,1
278,0.696,0.292,1
279,0.462,0.318,1
280,0.644,0.307,1
281,-0.819,0.487,1
287,1.388,0.307,1
288,1.284,0.312,1
291,0.417,0.319,1
292,1.187,0.312,1
293,-0.853,0.505,1
294,0.214,0.346,1
295,-0.616,0.522,1
296,0.479,0.301,1
297,1.656,0.31,1
298,0.588,0.332,1
299,1.055,0.297,1
301,-0.599,0.435,1
302,-0.344,0.406,1
304,0.822,0.295,1
305,-0.882,0.507,1
306,0.594,0.326,1
307,0.747,0.32,1
309,0.821,0.301,1
312,-1.038,0.532,1
313,0.91,0.303,1
315,0.398,0.337,1
317,0.27,0.317,1
318,-0.853,0.505,1
319,-1.371,0.627,1
320,0.888,0.303,1
321,0.246,0.314,1
322,1.135,0.31,1
325,2.052,0.328,1
326,0.232,0.347,1
327,0.164,0.339,1
330,0.302,0.334,1
331,0.468,0.317,2
332,-1.371,0.627,2
334,-0.159,0.368,2
335,-0.819,0.487,2
336,1.013,0.312,2
337,-1.094,0.551,2
339,0.882,0.304,2
340,0.132,0.325,2
342,-0.415,0.416,2
343,0.582,0.303,2
344,-0.853,0.505,2
346,0.02,0.342,2
348,-0.181,0.368,2
349,0.015,0.361,2
351,0.014,0.329,2
353,0.69,0.312,2
354,0.382,0.315,2
355,-0.174,0.353,2
357,-0.118,0.366,2
358,-0.743,0.465,2
360,0.794,0.314,2
364,-0.115,0.372,2
366,-0.681,0.466,2
367,-0.458,0.403,2
368,0.254,0.342,2
369,-0.488,0.427,2
371,1.296,0.306,2
375,0.821,0.313,2
376,0.023,0.343,2
377,-1.371,0.627,2
378,0.053,0.326,2
379,-1.044,0.539,2
380,0.025,0.349,2
381,0.76,0.317,2
383,-0.207,0.383,2
385,-0.041,0.357,2
386,0.305,0.331,2
388,-0.975,0.528,2
389,-0.681,0.446,2
390,-0.329,0.41,2
391,-0.774,0.455,2
392,1.493,0.314,2
395,-1.371,0.627,2
397,0.486,0.316,2
398,-0.122,0.363,2
399,0.082,0.328,2
401,-1.371,0.627,2
402,1.673,0.312,2
403,0.95,0.314,2
404,0.236,0.325,2
405,0.839,0.317,2
407,1.039,0.314,2
408,-0.209,0.343,2
409,0.178,0.314,2
410,-0.244,0.38,2
411,-0.546,0.425,2
412,0.848,0.311,2
413,-0.4,0.419,2
414,0.605,0.305,2
415,-0.422,0.411,2
417,-1.044,0.539,2
421,-1.371,0.627,2
423,-0.373,0.402,2
425,0.7,0.301,2
426,0.239,0.323,2
428,1.623,0.308,2
429,0.73,0.3,2
435,1.403,0.312,2
437,-0.446,0.396,2
439,-1.371,0.627,2
441,-0.059,0.354,2
442,-0.199,0.356,2
443,-0.372,0.414,2
444,-1.371,0.627,2
445,-1.371,0.627,2
446,0.103,0.326,2
448,-0.569,0.431,2
450,-0.407,0.425,2
452,-0.073,0.358,2
453,1.67,0.31,2
454,2.048,0.319,2
455,1.712,0.309,2
458,-1.371,0.627,2
459,-0.409,0.413,2
460,0.169,0.318,2
461,-0.603,0.426,2
462,-1.371,0.627,2
464,-1.044,0.539,2
465,-1.371,0.627,2
470,-1.371,0.627,2
471,-0.098,0.37,2
472,-0.472,0.411,2
473,-0.488,0.427,2
474,-0.975,0.528,2
475,-0.401,0.396,2
478,1.087,0.304,2
479,-1.371,0.627,2
480,-1.371,0.627,2
481,-0.103,0.341,2
482,-0.177,0.362,2
483,-0.288,0.376,2
484,0.675,0.303,2
487,0.911,0.306,2
489,-0.819,0.487,2
491,-1.371,0.627,2
492,-0.747,0.476,2
493,0.469,0.309,2
495,-0.747,0.476,2
496,0.247,0.326,2
499,1.865,0.315,2
503,-1.371,0.627,2
504,-1.371,0.627,2
505,-1.371,0.627,2
506,0.094,0.341,2
507,0.288,0.32,2
509,0.233,0.338,2
510,-0.51,0.419,2
512,0.72,0.308,2
513,-1.044,0.539,2
515,-0.129,0.367,2
516,-0.853,0.505,2
517,-1.044,0.539,2
518,0.163,0.344,2
519,0.774,0.304,2
522,-0.279,0.38,2
524,1.41,0.306,2
525,0.077,0.342,2
526,0.254,0.317,2
527,-0.803,0.48,2
528,-1.241,0.631,2
532,-0.449,0.406,2
533,-0.329,0.41,2
535,0.941,0.308,2
538,1.393,0.349,2
539,-1.052,0.621,2
541,1.161,0.301,2
542,0.894,0.314,2
544,-0.48,0.437,2
545,0.788,0.309,2
546,1.514,0.312,2
548,-1.094,0.551,2
550,-0.853,0.505,2
551,-0.62,0.455,2
552,-0.439,0.417,2
555,-1.038,0.532,2
557,1.125,0.305,2
558,-0.333,0.41,2
560,0.97,0.305,2
561,0.973,0.312,2
562,1.067,0.309,2
564,-1.371,0.627,2
565,-0.183,0.364,2
567,-0.449,0.406,2
568,0.583,0.313,2
570,-0.238,0.379,2
571,-0.843,0.491,2
573,-0.647,0.457,2
575,-0.48,0.397,2
576,1.431,0.315,2
578,0.011,0.349,2
579,-0.186,0.37,2
581,-0.037,0.344,2
582,-0.853,0.505,2
583,0.504,0.306,2
584,-0.672,0.469,2
586,1.227,0.305,2
587,-0.062,0.361,2
588,-1.052,0.621,2
589,-0.093,0.371,2
591,-0.672,0.469,2
593,-0.246,0.396,2
595,-1.371,0.627,2
596,-0.152,0.361,2
600,1.29,0.307,2
601,-1.371,0.627,2
603,1.05,0.3,2
604,1.398,0.307,2
605,-1.371,0.627,2
608,-0.446,0.411,2
609,0.435,0.321,2
610,-0.803,0.48,2
612,1.372,0.31,2
613,1.296,0.306,2
614,0.357,0.325,2
617,1.66,0.308,2
619,0.01,0.338,2
622,0.108,0.331,2
623,0.163,0.334,2
625,-0.305,0.412,2
626,0.181,0.333,2
627,0.978,0.321,2
628,-0.392,0.39,2
632,0.608,0.327,2
634,1.353,0.303,2
635,-0.975,0.528,2
636,1.736,0.319,2
637,0.556,0.309,2
638,0.06,0.34,2
640,0.298,0.333,2
642,-0.277,0.388,2
643,0.421,0.326,2
646,0.101,0.353,2
647,-0.141,0.414,2
648,0.21,0.346,2
649,0.082,0.332,2
650,0.956,0.323,2
651,-0.743,0.465,2
653,-1.038,0.532,2
656,-1.044,0.539,2
657,0.311,0.327,3
658,1.515,0.312,3
659,1.736,0.314,3
661,-0.882,0.507,3
662,1.515,0.31,3
663,0.305,0.327,3
664,-0.164,0.355,3
665,-0.843,0.491,3
666,0.827,0.313,3
669,-0.141,0.386,3
671,-0.299,0.398,3
672,-0.718,0.462,3
673,0.894,0.317,3
674,0.925,0.302,3
675,-0.824,0.5,3
676,2.629,0.372,3
677,0.422,0.332,3
679,1.093,0.315,3
680,-0.853,0.505,3
681,-0.747,0.476,3
682,-0.05,0.363,3
685,0.06,0.347,3
686,-0.202,0.399,3
687,1.575,0.31,3
688,0.755,0.321,3
690,0.251,0.331,3
691,-0.673,0.462,3
692,0.464,0.318,3
693,0.149,0.352,3
694,0.205,0.341,3
697,0.758,0.302,3
699,0.293,0.33,3
700,-0.841,0.487,3
701,-0.708,0.468,3
702,0.134,0.344,3
703,0.41,0.33,3
704,-0.517,0.405,3
706,0.559,0.313,3
711,0.681,0.308,3
