ff_id,SC15,SC15_SE,SC9,SC9_SE,PAF,PAF_SE,city
4063,-0.317,0.984,-1.54,0.479,-0.253,0.99,12
4064,0.446,0.531,0.113,0.982,0.554,0.422,12
4066,1.06,0.642,0.248,0.984,1.006,0.488,12
4067,-0.838,0.45,0.382,0.725,-0.948,0.32,12
4068,0.554,0.542,-0.587,0.475,1.189,0.517,12
4069,-0.321,0.461,-0.153,0.514,-0.672,0.326,12
4071,0.844,0.598,0.063,0.561,0.308,0.385,12
4072,0.105,0.991,0.512,0.753,0.084,0.994,12
4074,-0.251,0.469,-2.264,0.564,-0.434,0.336,12
4075,0.355,0.498,0.151,0.593,0.947,0.479,12
4076,0.908,0.609,0.931,0.692,0.348,0.391,12
4078,-0.185,0.984,-0.899,0.482,-0.148,0.99,12
4079,-0.598,0.455,0.75,0.661,-1.466,0.299,12
4080,-0.183,0.471,0.198,0.531,-0.269,0.346,12
4081,-0.327,0.468,-1.379,0.499,-0.749,0.325,12
4082,-0.562,0.458,0.816,0.672,0.433,0.399,12
4083,-0.443,0.457,0.048,0.54,-0.378,0.342,12
4084,0.415,0.54,-1.54,0.487,-1.049,0.321,12
4086,0.867,0.603,-0.407,0.487,0.493,0.414,12
4087,-0.826,0.45,-1.372,0.493,-0.499,0.336,12
4089,-0.412,0.466,0.375,0.581,-1.622,0.303,12
4090,-0.017,0.477,-0.907,0.472,0.908,0.462,12
4091,0.462,0.546,-0.374,0.479,-1.095,0.318,12
4092,-0.245,0.471,0.051,0.981,1.287,0.538,12
4093,-0.328,0.466,-0.152,0.502,-1.332,0.314,12
4095,0.136,0.503,-0.049,0.518,-0.898,0.322,12
4096,-0.288,0.469,-0.753,0.473,-0.661,0.327,12
4097,1.023,0.63,0.954,0.696,0.731,0.443,12
4098,-0.31,0.468,-0.083,0.516,-0.932,0.319,12
4100,-0.107,0.984,-0.522,0.509,-0.086,0.99,12
4102,-0.593,0.455,-0.475,0.47,-1.167,0.316,12
4103,-0.375,0.46,-0.033,0.554,-1.018,0.32,12
4105,-0.63,0.451,-0.131,0.503,0.456,0.41,12
4106,1.228,0.674,0.995,0.704,1.365,0.549,12
4107,0.256,0.497,-1.099,0.455,0.371,0.396,12
4109,-0.27,0.469,-0.001,0.52,-0.724,0.32,12
4110,0.638,0.569,-2.205,0.559,0.019,0.369,12
4112,0.092,0.986,0.448,0.592,0.074,0.991,12
4113,-0.057,0.475,0.841,0.676,0.001,0.362,12
4114,0.415,0.507,0.272,0.54,0.886,0.447,12
4115,-1.486,0.444,0.077,0.555,-1.536,0.311,12
4116,-0.641,0.457,0.376,0.581,-1.035,0.321,12
4117,0.437,0.504,0.923,0.69,1.202,0.52,12
4118,0.816,0.594,-0.669,0.457,0.364,0.396,12
4120,-0.134,0.474,0.276,0.571,-0.928,0.312,12
4121,1.015,0.629,0.953,0.696,0.708,0.446,12
4124,-0.665,0.455,0.732,0.659,-1.866,0.301,12
4125,0.85,0.603,-2.175,0.556,0.812,0.45,12
4126,-0.356,0.459,0.817,0.672,-0.019,0.368,12
4127,-2.455,0.472,0.142,0.546,-2.865,0.314,12
4128,0.325,0.497,0.111,0.981,0.798,0.448,12
4129,1.194,0.666,0.988,0.703,1.266,0.526,12
4130,-0.866,0.45,-0.972,0.455,-0.835,0.329,12
4131,-1.367,0.434,0.685,0.651,-1.704,0.304,12
4133,0.382,0.523,0.334,0.576,0.212,0.38,12
4134,0.674,0.554,-0.428,0.479,1.494,0.573,12
4135,0.678,0.573,0.229,0.552,-0.345,0.341,12
4136,0.827,0.597,-0.924,0.487,0.459,0.409,12
4137,0.217,0.494,0.316,0.574,-0.137,0.356,12
4138,1.084,0.642,0.967,0.699,0.929,0.464,12
4141,-1.636,0.425,-0.383,0.98,-1.563,0.311,12
4143,-1.229,0.447,0.668,0.649,-2.588,0.318,12
4144,-0.614,0.45,-0.262,0.499,-1.081,0.315,12
4145,-0.122,0.473,0.712,0.708,-0.03,0.361,12
4146,0.89,0.606,0.927,0.692,0.287,0.392,12
4148,0.96,0.619,-0.064,0.506,0.742,0.446,12
4149,-0.837,0.445,0.769,0.664,-0.336,0.346,12
4150,1.006,0.628,0.951,0.696,0.676,0.45,12
4152,-0.385,0.465,-0.632,0.48,-1.56,0.307,12
4153,0.552,0.556,-1.337,0.499,-0.514,0.331,12
4155,-0.22,0.464,0.798,0.669,-0.891,0.319,12
4157,-0.03,0.469,0.84,0.676,-0.099,0.352,12
4158,-0.952,0.45,-0.701,0.489,-1.428,0.31,12
4160,0.601,0.563,0.866,0.681,-0.788,0.32,12
4161,-0.199,0.465,-2.253,0.563,-0.11,0.36,12
4163,0.213,0.504,0.891,0.685,0.839,0.458,12
4164,-1.156,0.443,-0.742,0.455,-0.993,0.323,12
4166,0.374,0.522,0.235,0.533,0.193,0.375,12
4168,-2.191,0.453,-1.466,0.493,-2.358,0.302,12
4169,-0.778,0.45,-0.31,0.48,-0.428,0.329,12
4170,-0.082,0.475,0.011,0.981,0.348,0.394,12
4171,-0.936,0.447,0.238,0.567,-0.653,0.329,12
4172,1.104,0.65,-0.496,0.476,1.307,0.539,12
4173,-0.021,0.48,-0.312,0.491,-0.957,0.316,12
4174,0.803,0.592,-0.445,0.478,0.269,0.384,12
4175,0.089,0.5,-0.582,0.476,-1.017,0.31,12
4176,0.249,0.511,-0.279,0.481,-0.292,0.346,12
4177,0.623,0.549,0.937,0.693,1.166,0.509,12
4178,1.232,0.675,0.996,0.704,1.377,0.553,12
4180,-0.492,0.458,0.799,0.669,-0.224,0.347,12
4182,0.175,0.488,-0.575,0.485,0.156,0.383,12
4183,0.376,0.5,0.489,0.592,0.98,0.486,12
4184,-1.637,0.436,-0.964,0.471,-0.138,0.352,12
4185,-0.147,0.983,-0.715,0.458,-0.117,0.989,12
4187,-0.967,0.449,-0.431,0.486,-1.577,0.3,12
4188,0.392,0.523,0.47,0.59,0.226,0.379,12
4189,0.909,0.61,0.931,0.692,0.35,0.403,12
4191,0.345,0.856,0.242,0.534,0.584,0.433,12
4192,0.408,0.525,0.367,0.563,0.324,0.396,12
4194,-0.31,0.461,-0.239,0.5,-0.591,0.332,12
4196,0.309,0.5,-0.261,0.49,0.465,0.409,12
4197,-0.099,0.478,-0.709,0.455,-1.301,0.307,12
4198,0.875,0.605,-0.243,0.517,0.487,0.42,12
4199,-0.224,0.47,0.169,0.562,-0.497,0.339,12
4200,0.728,0.58,0.894,0.686,-0.297,0.343,12
4201,0.386,0.855,0.894,0.688,0.519,0.415,12
4202,0.171,0.489,-2.219,0.56,0.489,0.406,12
4203,0.431,0.505,-0.307,0.507,1.437,0.561,12
4204,1.154,0.656,0.98,0.701,1.145,0.495,12
4207,-0.313,0.454,0.839,0.676,0.545,0.417,12
4208,-1.239,0.45,-1.632,0.492,-0.872,0.327,12
4209,1.082,0.646,0.256,0.984,1.075,0.499,12
4210,-0.296,0.469,0.179,0.53,-0.909,0.32,12
4211,-0.742,0.45,-0.05,0.507,-0.257,0.353,12
4212,0.379,0.517,0.871,0.681,-0.127,0.358,12
4213,-0.668,0.451,0.794,0.668,0.021,0.364,12
4214,0.697,0.576,0.241,0.533,-0.276,0.347,12
4215,-0.572,0.453,-1.267,0.495,-1.2,0.317,12
4216,-0.126,0.984,-0.61,0.477,-0.1,0.99,12
4217,0.59,0.561,-0.012,0.507,-0.643,0.323,12
4220,0.143,0.487,0.846,0.677,-0.321,0.343,12
4221,-1.283,0.434,-0.222,0.483,-0.951,0.315,12
4222,0.383,0.537,-0.78,0.486,-1.352,0.309,12
4224,1.347,0.703,1.018,0.709,1.706,0.618,12
4226,-0.075,0.477,-0.578,0.476,-0.413,0.334,12
4229,0.061,0.48,0.223,0.567,1.105,0.503,12
4230,-0.061,0.984,-0.297,0.517,-0.049,0.99,12
4233,0.257,0.512,0.849,0.678,-0.497,0.33,12
4235,0.781,0.59,0.134,0.983,0.064,0.368,12
4238,-0.045,0.479,0.22,0.536,-0.421,0.338,12
4240,-0.078,0.984,-0.378,0.481,-0.062,0.99,12
4241,-0.626,0.457,0.163,0.529,-0.898,0.317,12
4242,-0.138,0.472,-0.165,0.513,0.068,0.368,12
4243,0.574,0.559,0.861,0.68,-0.895,0.315,12
10134,-0.11,0.466,0.038,0.525,1.317,0.542,17
10091,-0.194,0.465,-0.999,0.462,-0.444,0.334,17
10105,1.119,0.65,0.974,0.7,1.038,0.49,17
10150,0.224,0.511,0.003,0.981,-0.474,0.335,17
4251,0.273,0.493,0.236,0.533,0.5,0.403,17
4253,0.178,0.493,0.882,0.683,0.64,0.434,17
4254,0.431,0.527,0.891,0.685,0.316,0.391,17
10094,0.589,0.561,-0.557,0.468,-0.53,0.333,17
4256,0.176,0.85,0.457,0.591,0.227,0.391,17
10233,0.908,0.656,0.187,0.988,0.51,0.906,17
10166,0.106,0.485,0.836,0.675,-0.517,0.335,17
10118,1.035,0.633,0.957,0.697,0.771,0.451,17
4260,0.641,0.548,0.126,0.528,1.229,0.525,17
4262,-0.723,0.454,0.398,0.583,0.002,0.357,17
4263,0.224,0.492,0.057,0.981,0.279,0.394,17
4264,-0.583,0.458,-0.137,0.98,-0.572,0.328,17
10111,-1.853,0.444,-1.683,0.52,-2.241,0.301,17
4267,-2.526,0.482,-0.742,0.467,-2.22,0.308,17
10181,0.392,0.506,0.899,0.686,0.635,0.429,17
10108,0.287,0.515,-1.248,0.497,0.1,0.375,17
4270,-0.185,0.463,-0.765,0.455,1.04,0.494,17
4272,1.239,0.68,-0.158,0.513,1.646,0.606,17
4274,-0.091,0.984,-0.442,0.481,-0.073,0.99,17
4275,0.632,0.567,0.329,0.576,-0.547,0.335,17
4276,-0.476,0.457,0.195,0.535,-0.607,0.326,17
4277,-0.213,0.469,-1.147,0.455,-0.137,0.347,17
10119,-0.028,0.48,-0.016,0.555,-1.06,0.315,17
10163,-2.117,0.458,0.652,0.646,-1.003,0.323,17
10133,0.272,0.513,-0.541,0.457,-0.122,0.347,17
4281,0.883,0.609,-2.17,0.556,0.93,0.475,17
10123,-1.105,0.435,0.361,0.58,-0.551,0.335,17
10143,-0.778,0.453,-0.733,0.493,-0.091,0.355,17
10180,0.958,0.619,0.941,0.694,0.52,0.424,17
10160,0.226,0.51,-0.818,0.482,-0.287,0.345,17
4286,-0.323,0.849,-0.095,0.988,-0.575,0.337,17
4287,1.047,0.635,0.39,0.582,0.935,0.468,17
10158,-0.589,0.457,-0.109,0.496,-0.616,0.329,17
10097,0.002,0.482,-0.983,0.489,0.1,0.364,17
10113,-0.262,0.469,-0.218,0.5,-0.011,0.373,17
4291,0.492,0.508,0.937,0.693,1.48,0.568,17
10106,0.694,0.556,-0.098,0.486,1.506,0.575,17
4293,0.945,0.618,0.202,0.983,0.635,0.418,17
4294,0.325,0.518,-0.76,0.467,0.176,0.376,17
4296,0.698,0.576,-0.869,0.456,-0.035,0.355,17
10135,1.116,0.649,0.973,0.7,1.029,0.491,17
4299,-0.668,0.457,0.274,0.556,-1.175,0.313,17
10174,-0.861,0.444,-0.056,0.507,-0.312,0.346,17
4301,0.39,0.523,-0.103,0.504,0.339,0.386,17
4302,0.089,0.488,-0.037,0.981,-0.731,0.322,17
4304,0.146,0.487,-0.542,0.502,-0.008,0.361,17
10203,-0.287,0.468,-0.126,0.98,-1.101,0.308,17
4307,-0.176,0.473,-0.042,0.981,-0.176,0.357,17
4308,0.762,0.585,-0.61,0.501,0.153,0.366,17
4309,0.466,0.513,0.063,0.561,1.183,0.515,17
4310,-0.695,0.449,-0.149,0.98,-0.469,0.327,17
10102,0.198,0.494,0.887,0.684,0.744,0.439,17
10138,-1.281,0.434,0.245,0.553,-1.038,0.319,17
4315,0.106,0.501,-1.057,0.484,-0.829,0.326,17
10175,-1.29,0.435,-0.284,0.98,-0.982,0.32,17
4318,0.866,0.602,-0.042,0.497,0.411,0.395,17
4319,1.347,0.703,1.018,0.709,1.706,0.618,17
4320,0.048,0.985,0.235,0.54,0.039,0.99,17
4321,1.08,0.641,0.966,0.699,0.916,0.466,17
10171,0.627,0.566,-0.55,0.465,-0.381,0.342,17
4324,0.178,0.989,0.865,0.686,0.142,0.993,17
10129,0.498,0.55,0.844,0.677,-1.206,0.313,17
10157,0.356,0.522,0.069,0.981,0.145,0.38,17
10156,1.087,0.644,0.289,0.536,1.084,0.502,17
10227,-1.261,0.444,-0.064,0.551,-0.31,0.349,17
10112,-0.215,0.471,-0.361,0.517,-0.329,0.346,17
10147,-0.619,0.446,-0.74,0.51,-0.281,0.344,17
10124,1.065,0.638,0.963,0.698,0.869,0.459,17
4332,0.56,0.559,0.038,0.982,-0.775,0.325,17
4333,0.178,0.989,0.865,0.686,0.142,0.993,17
4334,1.167,0.666,-0.982,0.455,1.607,0.598,17
10139,1.102,0.65,-0.57,0.457,1.315,0.543,17
10122,-1.051,0.44,-0.754,0.456,-0.522,0.337,17
10179,0.364,0.503,0.892,0.685,0.497,0.412,17
10140,0.855,0.6,0.92,0.69,0.165,0.382,17
10132,-0.195,0.464,-1.771,0.51,0.421,0.402,17
4340,0.864,0.601,-0.136,0.495,0.424,0.386,17
4341,-0.087,0.47,0.194,0.549,-0.084,0.351,17
4342,-0.012,0.493,-1.052,0.464,-1.435,0.308,17
10167,0.276,0.507,-0.068,0.497,-0.42,0.336,17
10161,-1.514,0.449,-0.258,0.491,-0.8,0.323,17
4345,0.207,0.493,-0.712,0.456,0.037,0.365,15
4346,0.523,0.553,-0.561,0.477,-0.8,0.325,15
4347,-0.246,0.47,-0.565,0.457,-0.464,0.338,15
4348,-0.211,0.471,0.294,0.557,-1.364,0.31,15
4349,0.658,0.555,0.081,0.563,1.502,0.574,15
10202,0.593,0.541,0.263,0.534,0.992,0.486,15
10192,-0.408,0.458,-0.443,0.47,-0.057,0.35,15
4353,0.215,0.509,0.839,0.676,-0.697,0.325,15
4354,0.126,0.489,-0.297,0.514,-0.479,0.339,15
4355,0.196,0.518,-1.234,0.524,-2.104,0.306,15
10232,-0.924,0.45,-1.329,0.471,-1.117,0.314,15
4357,1.283,0.693,0.332,0.986,1.671,0.612,15
4358,0.275,0.493,0.094,0.526,0.54,0.412,15
4360,1.009,0.629,-0.047,0.542,0.903,0.464,15
10206,0.858,0.601,-0.075,0.505,0.39,0.392,15
4363,0.29,0.513,0.029,0.51,1.41,0.558,15
10211,-1.636,0.453,-0.472,0.486,-1.224,0.318,15
10207,0.716,0.559,0.28,0.535,1.521,0.577,15
4366,-1.169,0.442,-0.229,0.51,-2.248,0.296,15
10230,-0.635,0.449,0.159,0.529,-1.084,0.319,15
4369,-0.589,0.447,-0.108,0.98,-0.143,0.362,15
10205,-0.54,0.456,-0.477,0.476,-0.849,0.323,15
10221,-0.239,0.463,0.271,0.57,-0.886,0.326,15
4372,1.294,0.691,0.449,0.57,1.676,0.612,15
4373,0.504,0.536,-0.248,0.481,0.895,0.468,15
4374,1.347,0.703,1.018,0.709,1.706,0.618,15
4375,-0.408,0.452,-0.277,0.508,0.198,0.368,15
4377,0.044,0.985,0.215,0.535,0.035,0.99,15
4378,0.882,0.605,-0.297,0.472,0.521,0.403,15
4379,0.428,0.527,0.045,0.56,0.485,0.416,15
4382,0.638,0.567,0.217,0.566,-0.502,0.327,15
10223,-0.347,0.463,-0.036,0.981,0.296,0.391,15
4385,0.517,0.536,0.256,0.534,0.845,0.455,15
10209,-0.55,0.458,-0.972,0.485,-0.193,0.351,15
10198,-0.855,0.443,-1.393,0.491,-1.642,0.306,15
10208,-0.286,0.459,0.436,0.842,0.174,0.382,15
4392,1.065,0.64,0.393,0.582,0.991,0.494,15
10215,1.028,0.632,0.152,0.547,0.923,0.465,15
4395,-0.25,0.462,-0.208,0.492,-0.239,0.352,15
4403,-0.619,0.451,0.196,0.531,0.666,0.433,15
4404,0.297,0.5,0.073,0.981,0.333,0.401,15
10222,-0.064,0.475,0.446,0.588,0.352,0.397,15
10229,-0.275,0.461,0.279,0.571,-0.491,0.334,15
4409,-1.305,0.441,0.713,0.656,-0.969,0.318,15
4411,0.178,0.989,0.865,0.686,0.142,0.993,15
4412,0.597,0.549,0.185,0.983,1.213,0.521,15
4413,0.852,0.601,-0.658,0.512,0.494,0.414,15
4414,1.163,0.659,0.982,0.702,1.172,0.515,15
10200,-0.191,0.472,0.303,0.573,0.285,0.391,15
10214,0.15,0.491,0.465,0.59,0.583,0.422,15
4422,-0.612,0.449,0.784,0.667,-0.396,0.339,15
10199,-1.822,0.438,-0.85,0.472,-1.382,0.317,15
4426,0.562,0.546,-1.58,0.488,1.44,0.564,15
10224,1.198,0.672,-0.621,0.513,1.624,0.602,15
10220,-1.964,0.447,-0.666,0.473,-1.68,0.304,15
4430,-0.15,0.471,0.197,0.531,-0.387,0.337,15
4433,-1.775,0.441,-1.025,0.472,0.532,0.426,15
4435,-0.076,0.477,0.815,0.672,-0.722,0.324,15
4436,0.334,0.518,-0.276,0.515,0.115,0.376,15
4438,0.572,0.543,0.925,0.691,0.945,0.476,15
4439,1.054,0.638,0.165,0.659,1.004,0.487,15
10194,-1.03,0.445,-1.329,0.464,-1.387,0.312,15
4441,-0.178,0.462,0.089,0.543,0.897,0.46,15
4442,0.111,0.856,0.033,0.988,0.198,0.391,15
10226,0.344,0.514,-1.313,0.463,0.18,0.38,15
10212,-1.325,0.444,0.233,0.553,-1.439,0.305,15
4446,-0.03,0.481,-0.025,0.981,-0.285,0.345,15
4447,0.04,0.986,0.196,0.568,0.032,0.991,15
10228,0.248,0.496,-0.181,0.5,0.135,0.381,15
4449,-1.389,0.434,-1.466,0.706,-1.386,0.312,15
10219,0.355,0.502,0.37,0.563,0.563,0.395,15
4451,-0.241,0.47,-0.141,0.536,-0.525,0.329,15
4452,-0.772,0.45,-0.889,0.478,-0.264,0.351,15
4453,-0.302,0.458,-0.224,0.5,0.219,0.363,15
4454,0.283,0.493,0.882,0.683,0.412,0.404,15
10225,-0.26,0.468,-0.15,0.536,-0.937,0.322,15
4458,-0.253,0.983,-1.231,0.457,-0.202,0.989,15
10195,-0.229,0.469,0.192,0.595,-0.837,0.317,15
4460,0.2,0.502,0.888,0.684,0.773,0.441,15
4461,0.257,0.512,-0.698,0.511,-0.164,0.338,15
4463,-1.238,0.441,-0.288,0.98,-1.156,0.313,15
4466,0.758,0.585,0.9,0.687,-0.188,0.352,15
4468,-0.476,0.458,0.279,0.571,-0.021,0.358,15
4469,-0.575,0.453,-0.744,0.456,-1.238,0.31,15
4470,0.659,0.555,0.088,0.524,1.502,0.574,15
4471,-0.16,0.473,-0.317,0.491,-0.942,0.314,15
4472,1.249,0.682,-0.047,0.528,1.652,0.607,15
4473,-0.472,0.454,0.283,0.571,0.144,0.356,15
4474,-0.01,0.984,-0.051,0.521,-0.008,0.99,15
4476,-1.314,0.441,-0.22,0.519,-0.873,0.324,15
4478,0.454,0.545,0.227,0.537,-1.261,0.315,15
4479,-0.574,0.459,-0.132,0.98,-0.52,0.339,15
4480,-0.704,0.458,-0.208,0.98,-1.286,0.309,15
10204,0.023,0.478,0.862,0.68,0.444,0.405,15
4483,-0.589,0.456,-0.196,0.483,-1.117,0.32,15
4484,0.856,0.603,0.166,0.983,0.331,0.395,15
10234,-0.54,0.458,-0.32,0.496,-0.275,0.336,15
4489,-0.11,0.474,-0.026,0.981,-0.113,0.344,15
4490,-0.257,0.47,0.798,0.669,-0.818,0.326,15
4491,0.091,0.488,-0.037,0.981,-0.724,0.323,15
10231,0.748,0.584,0.898,0.686,-0.222,0.354,15
4493,-0.157,0.487,-0.196,0.981,-2.381,0.293,15
10196,1.023,0.632,0.524,0.597,0.825,0.48,15
10216,1.142,0.655,0.541,0.599,1.202,0.511,15
4496,1.054,0.639,0.245,0.984,0.987,0.461,15
4497,-0.592,0.458,-0.92,0.479,-0.458,0.341,15
4499,-0.492,0.459,-0.926,0.506,0.144,0.379,15
4500,0.206,0.493,-0.746,0.48,0.036,0.368,19
4501,-0.045,0.477,0.01,0.981,0.246,0.391,19
4502,1.116,0.649,0.973,0.7,1.029,0.491,19
4504,0.533,0.554,-0.696,0.481,-0.73,0.33,19
4506,0.38,0.505,-0.217,0.491,0.817,0.451,19
4507,-0.285,0.459,-0.866,0.477,0.464,0.406,19
4508,-0.629,0.457,-0.784,0.472,-0.712,0.329,19
4509,0.18,0.506,0.83,0.675,-0.867,0.319,19
4510,-0.505,0.457,0.648,0.699,-0.876,0.318,19
4511,0.507,0.551,-0.277,0.49,-0.928,0.318,19
4512,-0.276,0.462,0.86,0.679,1.058,0.498,19
4514,-1.085,0.437,0.233,0.567,-0.494,0.336,19
4515,0.8,0.592,-0.937,0.455,0.363,0.397,19
4516,-1.131,0.442,-1.358,0.455,-1.758,0.303,19
4518,0.648,0.569,0.361,0.563,-0.492,0.337,19
4519,1.138,0.656,-0.121,0.495,1.332,0.546,19
4520,0.544,0.534,0.492,0.593,0.723,0.438,19
4521,0.786,0.589,0.906,0.688,-0.085,0.361,19
4522,-0.144,0.464,0.247,0.538,1.065,0.497,19
4525,0.158,0.504,0.203,0.531,-0.839,0.321,19
4528,0.415,0.526,0.261,0.539,0.378,0.395,19
4530,-0.364,0.461,0.779,0.666,-1.129,0.317,19
4531,0.443,0.51,0.912,0.688,0.887,0.475,19
4532,-0.598,0.456,0.75,0.661,-1.463,0.309,19
4534,-0.308,0.468,-0.116,0.495,-0.917,0.326,19
4535,0.092,0.986,0.448,0.592,0.074,0.991,19
4536,-0.33,0.46,0.844,0.677,0.738,0.437,19
4538,1.035,0.635,-0.826,0.457,1.156,0.504,19
4539,0.769,0.587,-0.118,0.514,0.073,0.372,19
4540,-0.391,0.456,0.797,0.669,-0.539,0.332,19
4541,-0.265,0.984,-1.289,0.491,-0.212,0.99,19
4542,-0.116,0.466,-0.033,0.506,-0.101,0.359,19
4543,-0.16,0.472,-0.035,0.506,-0.087,0.357,19
4544,0.359,0.521,0.33,0.576,0.103,0.376,19
4545,-0.147,0.476,-0.091,0.516,-1.698,0.306,19
4547,-0.646,0.457,0.757,0.663,-1.143,0.315,19
4548,0.662,0.571,0.236,0.533,-0.409,0.334,19
4550,-0.077,0.474,-0.589,0.481,0.199,0.361,19
4551,-0.127,0.466,0.325,0.559,-0.245,0.351,19
4553,-0.211,0.469,-0.017,0.555,-0.688,0.321,19
4554,-0.911,0.447,-0.678,0.456,-0.981,0.323,19
4555,-0.257,0.46,-0.075,0.497,0.458,0.413,19
4556,0.322,0.5,0.881,0.683,0.285,0.391,19
4558,-0.249,0.462,-0.717,0.501,-0.125,0.36,19
4559,0.685,0.553,0.945,0.694,1.246,0.526,19
4560,-1.451,0.427,-0.443,0.478,-0.662,0.329,19
4562,0.193,0.489,0.453,0.589,0.032,0.362,19
4563,0.28,0.499,0.064,0.981,0.246,0.386,19
4565,-0.316,0.459,-1.974,0.522,0.513,0.416,19
4566,-0.13,0.984,-0.633,0.493,-0.104,0.99,19
10235,-0.178,0.464,-0.314,0.491,-0.712,0.326,19
4568,-0.363,0.461,0.393,0.583,-1.037,0.321,19
4569,-1.064,0.446,-1.404,0.497,-1.787,0.302,19
4570,0.178,0.989,0.865,0.686,0.142,0.993,19
4571,-1.553,0.437,0.132,0.559,1.017,0.497,19
4573,-0.266,0.463,-0.07,0.98,-0.363,0.339,19
4574,0.981,0.622,0.408,0.566,0.711,0.438,19
4575,-0.21,0.47,0.8,0.669,-0.86,0.32,19
4576,0.769,0.587,0.902,0.687,-0.144,0.359,19
4577,-0.662,0.446,-2.281,0.565,-0.221,0.345,19
4578,0.835,0.597,0.388,0.565,0.206,0.385,19
4581,0.836,0.598,-0.716,0.474,0.449,0.405,19
4582,0.092,0.986,0.448,0.592,0.074,0.991,19
4584,-0.091,0.984,-0.44,0.479,-0.072,0.99,19
4585,-1.094,0.841,0.691,0.654,-2.167,0.31,19
4586,0.017,0.478,0.214,0.55,0.549,0.413,19
4587,0.089,0.486,0.292,0.572,-0.805,0.315,19
4588,0.042,0.985,0.204,0.553,0.033,0.991,19
4589,-0.411,0.457,-0.144,0.98,-1.068,0.315,19
4590,1.331,0.7,1.015,0.708,1.662,0.622,19
4591,0.599,0.549,-0.928,0.455,1.464,0.568,19
4592,0.375,0.523,-0.958,0.495,0.457,0.409,19
4593,-0.101,0.476,-0.445,0.493,-0.588,0.33,19
4595,-0.74,0.446,0.826,0.674,1.15,0.525,19
4596,-0.648,0.449,-0.386,0.501,-0.126,0.356,19
4597,-0.218,0.501,-0.638,0.456,0.618,0.401,19
4598,-0.531,0.842,-1.548,0.487,-0.647,0.338,19
4600,-0.139,0.463,0.841,0.676,0.189,0.367,20
4601,1.283,0.693,0.332,0.986,1.671,0.612,20
4602,-0.835,0.45,0.368,0.58,-0.929,0.319,20
4606,0.22,0.496,0.372,0.563,0.968,0.469,20
4607,0.015,0.478,0.86,0.679,0.399,0.401,20
4608,0.44,0.51,0.911,0.688,0.872,0.46,20
4609,-1.358,0.432,-0.296,0.98,-0.994,0.32,20
4610,1.304,0.693,0.564,0.601,1.682,0.613,20
4612,0.353,0.498,-0.318,0.507,1.037,0.484,20
4613,0.177,0.851,0.864,0.683,0.141,0.385,20
4614,1.347,0.703,1.018,0.709,1.706,0.618,20
4615,-0.403,0.46,-0.819,0.478,-1.016,0.322,20
4616,0.178,0.989,0.865,0.686,0.142,0.993,20
4618,0.776,0.588,0.904,0.687,-0.119,0.358,20
4619,-2.471,0.497,0.632,0.644,-0.836,0.327,20
4620,1.347,0.703,1.018,0.709,1.706,0.618,20
4623,-0.833,0.45,0.238,0.567,-0.887,0.322,20
4625,-0.971,0.443,-0.076,0.505,-0.343,0.344,20
4626,0.445,0.51,0.912,0.689,0.895,0.475,20
4627,0.909,0.61,0.931,0.692,0.353,0.4,20
4628,0.187,0.493,0.884,0.684,0.686,0.427,20
4629,-1.761,0.457,-2.342,0.571,-0.179,0.365,20
4630,-0.601,0.457,-0.367,0.517,0.286,0.393,20
4631,0.096,0.482,0.882,0.683,0.844,0.461,20
4632,-0.768,0.442,-1.259,0.514,-0.325,0.346,20
4633,0.553,0.536,-0.656,0.494,1.009,0.475,20
4634,-0.15,0.472,0.203,0.531,-0.081,0.351,20
4635,0.178,0.989,0.865,0.686,0.142,0.993,20
4636,-1.094,0.442,-1.156,0.473,-1.566,0.301,20
4638,0.679,0.554,-0.348,0.495,1.497,0.573,20
4639,-1.091,0.453,-0.773,0.455,-1.142,0.319,20
4640,-0.07,0.474,0.848,0.677,0.234,0.388,20
4641,-0.263,0.461,0.84,0.676,0.446,0.407,20
4643,-0.742,0.438,-0.732,0.51,0.435,0.401,20
4644,-1.459,0.444,-2.31,0.568,0.417,0.396,20
4645,0.918,0.612,-0.727,0.455,0.74,0.442,20
4646,-0.465,0.459,-0.264,0.49,0.167,0.383,20
4647,-0.183,0.471,-0.226,0.5,-0.176,0.347,20
4648,0.159,0.49,0.192,0.564,-0.409,0.336,20
4649,0.122,0.513,-0.171,0.981,-2.682,0.3,20
4650,-0.886,0.447,0.153,0.529,-0.801,0.324,20
4651,-0.349,0.461,-0.951,0.469,1.012,0.492,20
4652,-0.551,0.447,-0.305,0.48,0.054,0.364,20
4653,0.384,0.506,-0.32,0.507,0.857,0.471,20
4654,1.304,0.693,0.564,0.601,1.682,0.613,20
4656,-0.373,0.459,0.832,0.675,0.482,0.39,20
4657,0.121,0.486,-1.554,0.491,0.076,0.363,20
4658,0.85,0.599,0.919,0.69,0.147,0.377,20
4659,-0.353,0.842,-0.113,0.496,-0.628,0.336,20
4661,-0.817,0.448,0.394,0.583,0.062,0.365,20
4662,0.905,0.609,0.287,0.541,0.475,0.416,20
4663,-1.333,0.45,-0.323,0.98,-1.435,0.308,20
4664,-0.673,0.45,0.308,0.558,0.305,0.397,20
4665,-0.518,0.451,-0.009,0.52,-0.54,0.335,20
4667,0.859,0.601,-0.25,0.492,0.43,0.408,20
