ff_id,SC15,SC15_SE,SC9,SC9_SE,PAF,PAF_SE,city
3556,-0.15,0.474,0.796,0.669,-1.129,0.306,11
3557,0.9,0.608,-0.507,0.457,0.631,0.423,11
3558,0.14,0.505,-0.039,0.981,-0.877,0.319,11
3559,-1.009,0.449,-0.784,0.455,-1.765,0.304,11
3560,0.151,0.479,0.889,0.684,0.917,0.472,11
3561,-0.217,0.47,0.808,0.671,-0.592,0.33,11
3562,-0.038,0.984,-0.182,0.495,-0.03,0.99,11
3563,-0.201,0.471,0.061,0.541,-0.341,0.341,11
3564,-0.172,0.466,-0.31,0.514,-0.462,0.338,11
3565,-0.885,0.443,-0.123,0.98,0.334,0.388,11
3566,0.933,0.616,0.197,0.983,0.593,0.413,11
3570,0.949,0.618,-0.233,0.482,0.741,0.447,11
3571,0.583,0.544,0.927,0.691,0.995,0.484,11
3572,-1.527,0.424,-1.406,0.473,-0.584,0.334,11
3573,-0.036,0.48,-0.028,0.981,-0.316,0.34,11
3575,0.846,0.598,0.918,0.69,0.13,0.36,11
3576,1.139,0.654,0.977,0.701,1.099,0.502,11
3577,-1.041,0.438,0.371,0.581,-0.317,0.344,11
3578,-0.475,0.457,-0.043,0.507,-0.548,0.331,11
3579,0.004,0.477,0.857,0.679,0.34,0.394,11
3582,-0.274,0.455,0.85,0.678,0.783,0.453,11
3583,0.591,0.546,0.039,0.511,1.217,0.523,11
3584,-0.744,0.457,-0.723,0.468,-1.42,0.31,11
3585,-0.88,0.45,0.735,0.659,-1.289,0.305,11
3587,0.128,0.489,0.219,0.551,0.515,0.413,11
3588,0.404,0.524,0.884,0.684,0.194,0.375,11
3589,0.059,0.482,-1.124,0.486,1.073,0.496,11
3590,-0.15,0.474,0.796,0.669,-1.129,0.32,11
3591,-1.666,0.44,-0.337,0.98,-0.845,0.318,11
3594,0.328,0.501,0.883,0.683,0.314,0.396,11
3595,-0.973,0.441,0.374,0.581,-0.343,0.331,11
3596,-0.211,0.471,0.294,0.557,-1.364,0.31,11
3597,0.244,0.505,-0.117,0.538,-0.571,0.329,11
3598,-0.303,0.468,0.196,0.535,-0.956,0.32,11
3599,0.659,0.57,-0.899,0.472,-0.178,0.346,11
3600,0.34,0.519,-0.632,0.467,0.222,0.371,11
3601,-0.094,0.473,0.841,0.676,0.1,0.36,11
3602,0.695,0.575,0.887,0.684,-0.422,0.331,11
3604,0.999,0.626,0.383,0.581,0.775,0.45,11
3607,0.212,0.509,0.838,0.676,-0.711,0.33,11
3610,-0.497,0.451,0.398,0.583,-0.496,0.33,11
3611,-1.11,0.441,-2.316,0.568,-0.65,0.322,11
3615,-1.536,0.451,0.746,0.661,0.588,0.432,11
3616,-0.509,0.458,0.794,0.668,-0.329,0.334,11
3617,-0.095,0.984,-0.46,0.48,-0.076,0.99,11
3619,0.897,0.609,-0.754,0.482,0.673,0.433,11
3620,-0.881,0.45,-1.487,0.477,-0.817,0.322,11
3621,-0.114,0.984,-0.555,0.505,-0.091,0.99,11
3622,0.778,0.588,0.904,0.687,-0.114,0.35,11
3624,0.801,0.593,-1.361,0.473,0.459,0.407,11
3625,0.829,0.596,-0.302,0.472,0.332,0.4,11
3626,0.11,0.483,0.237,0.552,1.372,0.551,11
3627,0.64,0.569,0.073,0.982,-0.463,0.33,11
3630,0.903,0.607,0.506,0.594,0.423,0.382,11
3631,1.283,0.693,0.332,0.986,1.671,0.612,11
3634,0.832,0.596,0.915,0.689,0.082,0.365,11
