ff_id,SC9,SC9_SE,city
371,-0.56,0.459,2
372,-0.304,0.495,2
374,0.246,0.543,2
375,-0.304,0.495,2
376,0.246,0.543,2
377,0.865,0.686,2
378,0.865,0.686,2
379,-0.6,0.479,2
380,-0.906,0.458,2
381,0.322,0.56,2
384,-0.938,0.485,2
385,0.311,0.579,2
386,-0.752,0.513,2
388,0.865,0.686,2
389,0.865,0.686,2
390,0.448,0.593,2
391,-0.003,0.515,2
393,0.865,0.686,2
394,0.865,0.686,2
395,-0.079,0.501,2
396,-0.339,0.475,2
397,-0.488,0.499,2
398,0.865,0.686,2
399,-1.152,0.457,2
401,-1.32,0.482,2
402,0.865,0.686,2
403,0.246,0.543,2
404,0.214,0.536,2
405,0.865,0.686,2
407,0.01,0.561,2
408,-0.447,0.493,2
409,0.246,0.543,2
410,-0.053,0.519,2
412,-1.088,0.496,2
413,0.448,0.593,2
414,-0.148,0.516,2
415,0.246,0.543,2
417,-1.506,0.481,2
421,0.865,0.686,2
423,0.865,0.686,2
425,0.865,0.686,2
426,-0.748,0.484,2
427,0.865,0.686,2
428,-0.601,0.505,2
429,-0.673,0.474,2
430,-0.311,0.516,2
438,0.865,0.686,2
441,0.086,0.579,2
442,-0.493,0.481,2
443,0.865,0.686,2
444,-0.101,0.495,2
445,0.311,0.579,2
446,-0.149,0.488,2
448,0.246,0.543,2
450,0.047,0.541,2
452,0.865,0.686,2
453,-1.425,0.493,2
455,-1.986,0.52,2
458,0.448,0.593,2
459,0.865,0.686,2
460,-0.645,0.501,2
461,0.246,0.543,2
462,0.448,0.593,2
464,-0.028,0.509,2
465,-2.277,0.567,2
470,0.047,0.541,2
472,0.865,0.686,2
473,-0.204,0.56,2
475,-0.404,0.477,2
479,0.865,0.686,2
480,-0.427,0.473,2
481,0.322,0.56,2
482,0.176,0.549,2
483,-0.003,0.515,2
484,-0.832,0.487,2
489,0.865,0.686,2
491,0.865,0.686,2
493,-0.767,0.457,2
495,0.214,0.536,2
496,-0.438,0.473,2
498,-0.321,0.49,2
499,0.322,0.56,2
500,0.448,0.593,2
503,0.865,0.686,2
504,0.246,0.543,2
505,0.322,0.56,2
506,0.311,0.579,2
509,0.196,0.569,2
510,-0.818,0.475,2
513,0.246,0.543,2
514,0.311,0.579,2
515,0.322,0.56,2
516,0.865,0.686,2
517,-1.425,0.483,2
518,-0.752,0.513,2
519,-0.384,0.506,2
522,-1.046,0.457,2
524,-1.773,0.563,2
525,0.865,0.686,2
526,-2.277,0.567,2
527,-0.513,0.479,2
528,0.865,0.686,2
531,-0.003,0.515,2
532,0.865,0.686,2
533,-1.163,0.471,2
534,-1.081,0.481,2
535,0.196,0.569,2
536,0.865,0.686,2
537,-0.384,0.506,2
538,0.865,0.686,2
539,0.865,0.686,2
541,0.068,0.532,2
544,-0.513,0.504,2
545,-2.277,0.567,2
550,0.865,0.686,2
551,0.311,0.579,2
552,0.865,0.686,2
557,-0.231,0.496,2
558,-1.136,0.456,2
560,0.087,0.528,2
561,0.311,0.579,2
562,0.176,0.549,2
564,0.214,0.536,2
565,-0.501,0.508,2
566,-1.136,0.484,2
567,0.865,0.686,2
570,-0.344,0.492,2
571,-1.056,0.608,2
573,0.322,0.56,2
575,0.448,0.593,2
578,0.865,0.686,2
579,-0.573,0.475,2
581,0.01,0.561,2
582,0.865,0.686,2
583,0.196,0.569,2
584,-0.129,0.504,2
585,-0.433,0.511,2
586,-0.752,0.513,2
587,-1.046,0.456,2
588,-0.384,0.506,2
589,-0.393,0.467,2
590,-1.112,0.483,2
593,0.047,0.541,2
595,-0.633,0.478,2
596,-0.281,0.485,2
598,-0.29,0.526,2
599,-0.579,0.509,2
600,-0.573,0.475,2
602,-0.211,0.544,2
603,0.176,0.549,2
604,0.311,0.579,2
605,0.865,0.686,2
610,-0.831,0.458,2
611,-0.231,0.496,2
613,-0.233,0.501,2
614,-0.559,0.491,2
616,-2.277,0.567,2
617,0.054,0.525,2
619,-0.385,0.515,2
622,0.196,0.569,2
623,-1.072,0.47,2
625,0.865,0.686,2
626,0.865,0.686,2
627,0.743,0.724,2
628,0.322,0.56,2
629,-0.641,0.458,2
632,0.865,0.686,2
635,-0.003,0.515,2
636,0.322,0.56,2
637,-0.375,0.503,2
640,0.865,0.686,2
642,-0.293,0.484,2
643,-0.19,0.514,2
646,0.246,0.543,2
647,-0.142,0.503,2
648,0.865,0.686,2
649,-0.385,0.515,2
650,0.865,0.686,2
651,0.246,0.543,2
653,0.196,0.569,2
656,0.865,0.686,2
657,0.865,0.686,3
658,-0.664,0.479,3
659,-0.919,0.475,3
660,0.865,0.686,3
661,0.196,0.569,3
662,-0.028,0.509,3
663,0.054,0.525,3
664,-1.401,0.478,3
666,0.01,0.561,3
667,0.322,0.56,3
668,-0.159,0.538,3
669,-0.771,0.472,3
671,-1.633,0.514,3
672,-0.475,0.472,3
674,-1.604,0.482,3
675,-1.488,0.481,3
676,-0.664,0.479,3
677,0.196,0.569,3
679,-1.696,0.486,3
680,0.865,0.686,3
682,-0.077,0.525,3
683,-0.812,0.458,3
685,-0.488,0.475,3
686,-0.107,0.51,3
687,-0.664,0.479,3
688,0.196,0.569,3
690,-0.389,0.503,3
691,0.448,0.593,3
692,-0.455,0.482,3
693,0.054,0.525,3
694,0.311,0.579,3
697,0.01,0.561,3
699,-0.994,0.472,3
700,0.865,0.686,3
701,0.865,0.686,3
702,0.047,0.541,3
703,-1.906,0.505,3
704,0.865,0.686,3
705,-0.685,0.465,3
706,0.865,0.686,3
707,-1.082,0.464,3
710,-0.959,0.465,3
711,-0.339,0.475,3
713,0.865,0.686,3
717,-0.159,0.538,3
718,0.865,0.686,3
719,-0.645,0.501,3
720,-0.488,0.499,3
721,0.054,0.525,3
722,0.865,0.686,3
723,-0.053,0.519,3
726,-0.101,0.495,3
727,-2.277,0.567,3
728,-2.277,0.567,3
729,0.448,0.593,3
732,0.865,0.686,3
734,-0.641,0.458,3
735,-0.159,0.538,3
737,0.087,0.528,3
739,0.865,0.686,3
740,0.196,0.569,3
741,0.01,0.561,3
742,-1.227,0.468,3
743,0.246,0.543,3
744,-0.906,0.458,3
745,-1.277,0.465,3
746,0.743,0.724,3
747,0.865,0.686,3
749,-0.653,0.478,3
751,0.448,0.593,3
753,0.865,0.686,3
754,0.865,0.686,3
759,-0.641,0.458,3
760,0.322,0.56,3
761,0.865,0.686,3
762,-1.002,0.465,3
763,0.311,0.579,3
