ff_id,EXT15,EXT15_SE,city
1,-0.862,0.506,1
2,1.525,0.267,1
4,-0.891,0.491,1
5,0.05,0.437,1
6,-0.989,0.527,1
7,0.75,0.345,1
8,-0.71,0.5,1
11,-1.362,0.555,1
13,1.187,0.295,1
16,-2.058,0.639,1
19,0.254,0.423,1
20,0.7,0.343,1
21,1.106,0.279,1
22,0.527,0.383,1
24,-1.04,0.503,1
26,0.262,0.389,1
28,2.618,0.286,1
29,-0.7,0.471,1
30,1.254,0.304,1
31,-1.093,0.515,1
38,-0.914,0.496,1
41,0.59,0.374,1
42,-0.199,0.444,1
43,0.424,0.4,1
45,-2.058,0.639,1
47,0.041,0.438,1
48,1.119,0.296,1
49,-1.14,0.519,1
52,0.268,0.423,1
54,-0.073,0.443,1
55,-1.371,0.532,1
58,-0.028,0.441,1
59,-0.499,0.49,1
61,-0.196,0.447,1
63,0.117,0.403,1
66,-0.789,0.469,1
68,-1.605,0.586,1
69,-1.397,0.553,1
70,-0.201,0.421,1
71,-2.058,0.639,1
73,1.739,0.259,1
74,-1.737,0.588,1
75,-0.803,0.496,1
77,-0.803,0.496,1
78,1.806,0.268,1
79,0.043,0.411,1
81,1.23,0.28,1
82,-1.056,0.525,1
83,0.592,0.367,1
84,0.82,0.298,1
86,0.041,0.438,1
87,0.254,0.429,1
88,-0.769,0.489,1
89,0.071,0.428,1
91,0.551,0.369,1
95,-0.462,0.469,1
96,0.42,0.402,1
97,0.254,0.424,1
98,-0.257,0.438,1
100,1.914,0.267,1
101,-0.484,0.479,1
102,-1.055,0.508,1
103,-0.227,0.445,1
104,2.379,0.259,1
105,-0.414,0.442,1
106,1.303,0.294,1
107,0.528,0.321,1
109,0.445,0.408,1
110,0.334,0.414,1
112,-0.381,0.469,1
114,0.088,0.437,1
116,-0.176,0.463,1
117,2.053,0.257,1
118,0.033,0.413,1
120,-0.838,0.47,1
122,1.485,0.265,1
126,0.546,0.389,1
127,-1.361,0.553,1
128,1.508,0.281,1
130,-0.403,0.478,1
132,-0.304,0.462,1
133,1.163,0.278,1
135,0.725,0.362,1
136,1.101,0.314,1
137,0.095,0.436,1
139,1.214,0.284,1
144,1.304,0.27,1
146,-0.319,0.451,1
147,-0.837,0.487,1
148,0.312,0.41,1
151,1.546,0.261,1
156,-0.095,0.441,1
158,-1.019,0.509,1
159,0.768,0.358,1
160,-0.234,0.447,1
161,0.49,0.422,1
162,0.735,0.362,1
164,-1.208,0.52,1
165,1.588,0.271,1
166,-0.839,0.504,1
167,0.146,0.413,1
168,-0.161,0.442,1
170,-0.855,0.468,1
171,-0.314,0.446,1
172,0.828,0.269,1
173,1.439,0.267,1
175,0.58,0.382,1
178,0.276,0.389,1
179,1.667,0.258,1
181,-0.176,0.454,1
182,-0.36,0.43,1
185,0.968,0.32,1
187,0.94,0.294,1
188,1.025,0.269,1
190,-1.409,0.569,1
191,1.688,0.264,1
194,-1.062,0.503,1
195,0.485,0.402,1
197,0.475,0.402,1
198,1.412,0.281,1
200,2.291,0.264,1
202,-0.214,0.447,1
203,2.053,0.259,1
204,0.201,0.419,1
205,0.674,0.352,1
207,0.677,0.36,1
209,0.463,0.389,1
210,0.621,0.367,1
211,1.145,0.321,1
212,0.892,0.358,1
216,0.19,0.422,1
217,0.077,0.436,1
218,0.723,0.359,1
219,-1.388,0.555,1
221,0.32,0.427,1
222,-0.13,0.436,1
227,-0.176,0.424,1
228,1.388,0.269,1
231,-2.058,0.639,1
232,-0.336,0.439,1
237,-0.105,0.394,1
238,0.647,0.366,1
239,1.086,0.308,1
242,-0.523,0.465,1
243,1.595,0.264,1
244,0.152,0.441,1
245,1.763,0.254,1
246,1.223,0.297,1
248,-1.819,0.603,1
249,1.239,0.269,1
250,1.099,0.263,1
251,1.302,0.277,1
252,0.334,0.441,1
253,-0.363,0.465,1
254,-1.182,0.515,1
255,1.722,0.272,1
259,0.104,0.435,1
263,1.409,0.28,1
267,-0.467,0.449,1
269,0.834,0.348,1
271,0.32,0.414,1
272,0.352,0.417,1
274,2.278,0.263,1
275,-0.694,0.473,1
276,0.839,0.337,1
277,0.924,0.33,1
278,1.661,0.259,1
279,1.481,0.285,1
280,0.168,0.417,1
281,0.868,0.288,1
287,-0.585,0.469,1
288,0.352,0.417,1
291,-0.804,0.47,1
292,1.575,0.273,1
293,-0.544,0.46,1
294,0.961,0.331,1
295,1.917,0.273,1
296,1.476,0.27,1
297,1.384,0.3,1
298,0.389,0.41,1
299,0.211,0.403,1
301,1.001,0.269,1
302,0.994,0.314,1
304,0.804,0.342,1
305,-0.037,0.442,1
306,1.163,0.311,1
307,-0.176,0.463,1
309,0.872,0.322,1
312,-0.891,0.491,1
313,0.049,0.433,1
315,1.278,0.284,1
317,-1.14,0.519,1
318,-1.176,0.54,1
319,-0.752,0.459,1
320,-0.875,0.496,1
321,0.085,0.423,1
322,0.77,0.335,1
325,0.884,0.338,1
326,0.893,0.332,1
327,0.643,0.375,1
330,1.422,0.277,1
331,-0.684,0.494,2
332,-1.589,0.574,2
334,-0.681,0.474,2
335,0.199,0.41,2
336,1.032,0.287,2
337,-1.519,0.562,2
339,0.822,0.269,2
340,-0.302,0.436,2
342,1.87,0.246,2
343,1.221,0.3,2
344,-0.653,0.479,2
346,-0.076,0.424,2
348,1.227,0.269,2
349,0.007,0.429,2
351,0.549,0.378,2
353,0.311,0.409,2
354,0.778,0.341,2
355,1.019,0.304,2
357,0.978,0.33,2
358,0.608,0.35,2
360,0.754,0.349,2
364,0.553,0.397,2
366,-2.058,0.639,2
367,1.141,0.269,2
368,0.831,0.297,2
369,0.572,0.368,2
371,-2.058,0.639,2
375,0.636,0.381,2
376,-0.31,0.47,2
377,-0.498,0.47,2
378,0.454,0.393,2
379,0.202,0.426,2
380,-0.513,0.454,2
381,-0.812,0.51,2
383,-0.936,0.51,2
385,0.188,0.427,2
386,0.37,0.411,2
388,-0.631,0.453,2
389,-0.332,0.48,2
390,0.439,0.394,2
391,-0.064,0.442,2
392,0.553,0.371,2
395,-0.522,0.459,2
397,-1.14,0.527,2
398,2.478,0.274,2
399,0.416,0.411,2
401,-0.613,0.498,2
402,0.052,0.411,2
403,0.86,0.343,2
404,0.256,0.412,2
405,1.177,0.285,2
407,0.063,0.504,2
408,1.104,0.268,2
409,0.215,0.422,2
410,1.017,0.31,2
411,-0.289,0.458,2
412,2.45,0.266,2
413,0.568,0.388,2
414,-0.176,0.463,2
415,-0.015,0.438,2
417,-1.425,0.543,2
421,-2.058,0.639,2
423,0.206,0.429,2
425,-0.156,0.421,2
426,1.189,0.287,2
428,1.035,0.311,2
429,-0.724,0.493,2
435,1.385,0.263,2
437,0.514,0.367,2
439,-1.046,0.526,2
441,-0.359,0.442,2
442,-1.624,0.564,2
443,0.206,0.429,2
444,-2.058,0.639,2
445,-0.011,0.429,2
446,-0.513,0.454,2
448,-0.368,0.45,2
450,0.501,0.401,2
452,-0.647,0.49,2
453,0.714,0.37,2
454,1.349,0.273,2
455,0.021,0.414,2
458,-0.883,0.518,2
459,-1.212,0.544,2
460,-0.325,0.466,2
461,-0.588,0.48,2
462,0.699,0.335,2
464,-1.819,0.603,2
465,-0.978,0.519,2
470,0.376,0.403,2
471,-1.424,0.548,2
472,0.352,0.417,2
473,-0.553,0.491,2
474,-0.275,0.472,2
475,-0.188,0.429,2
478,-0.072,0.427,2
479,-1.071,0.507,2
480,-0.273,0.453,2
481,-0.337,0.435,2
482,-0.292,0.466,2
483,-0.083,0.426,2
484,-1.361,0.553,2
487,0.206,0.429,2
489,-0.724,0.507,2
491,-1.371,0.532,2
492,-0.162,0.46,2
493,0.892,0.32,2
495,-2.058,0.639,2
496,-0.498,0.475,2
499,0.53,0.359,2
503,-1.055,0.508,2
504,-2.058,0.639,2
505,-0.091,0.443,2
506,-1.056,0.525,2
507,1.047,0.294,2
509,0.478,0.404,2
510,-0.037,0.442,2
512,1.771,0.249,2
513,-0.726,0.491,2
515,1.862,0.27,2
516,-0.535,0.455,2
517,-0.304,0.432,2
518,0.257,0.419,2
519,0.442,0.395,2
522,-1.542,0.574,2
524,0.623,0.377,2
525,-0.867,0.503,2
526,-0.073,0.443,2
527,-0.626,0.459,2
528,0.294,0.314,2
532,-1.065,0.503,2
533,-1.063,0.507,2
535,0.986,0.313,2
538,0.306,0.421,2
539,-2.058,0.639,2
541,1.284,0.302,2
542,-1.25,0.53,2
544,-0.679,0.497,2
545,1.265,0.283,2
546,0.414,0.394,2
548,-1.552,0.566,2
550,-0.732,0.484,2
551,-1.519,0.562,2
552,-0.593,0.482,2
555,-1.212,0.544,2
557,2.122,0.257,2
558,0.622,0.374,2
560,0.481,0.391,2
561,0.471,0.375,2
562,0.201,0.428,2
564,-1.409,0.569,2
565,-1.14,0.519,2
567,0.249,0.428,2
568,0.206,0.429,2
570,1.462,0.26,2
571,-1.339,0.55,2
573,1.108,0.266,2
575,-0.934,0.481,2
576,-0.706,0.482,2
578,1.598,0.277,2
579,0.43,0.401,2
581,-0.167,0.467,2
582,-1.019,0.504,2
583,0.411,0.393,2
