ff_id,SC15,SC15_SE,city
1,-1.053,0.471,1
2,-0.124,0.495,1
4,-0.393,0.478,1
5,-0.773,0.471,1
6,-0.637,0.481,1
8,-1.107,0.457,1
11,-0.079,0.491,1
13,-0.558,0.469,1
16,0.912,0.655,1
19,-0.773,0.471,1
20,-2.46,0.515,1
21,0.912,0.655,1
22,0.352,0.548,1
24,0.912,0.655,1
26,-0.9,0.467,1
28,0.352,0.548,1
29,-0.145,0.496,1
30,-1.32,0.449,1
31,-0.583,0.474,1
38,-0.124,0.495,1
41,-1.082,0.459,1
42,0.912,0.655,1
43,0.912,0.655,1
45,0.912,0.655,1
47,-2.042,0.46,1
48,-0.145,0.496,1
49,0.912,0.655,1
52,0.352,0.548,1
54,0.912,0.655,1
55,-0.686,0.467,1
58,0.912,0.655,1
59,0.912,0.655,1
61,-0.145,0.496,1
63,-0.059,0.49,1
66,0.912,0.655,1
68,0.912,0.655,1
69,-0.145,0.496,1
70,-0.059,0.49,1
71,0.912,0.655,1
73,0.251,0.52,1
74,0.912,0.655,1
75,0.23,0.519,1
77,-0.124,0.495,1
78,-2.655,0.542,1
79,0.912,0.655,1
81,-0.145,0.496,1
82,0.352,0.548,1
83,0.251,0.52,1
84,-0.637,0.481,1
86,0.912,0.655,1
87,0.251,0.52,1
88,0.23,0.519,1
89,-0.778,0.462,1
91,-0.124,0.495,1
95,-0.802,0.469,1
96,-0.124,0.495,1
97,-0.533,0.48,1
98,-0.741,0.471,1
100,0.251,0.52,1
101,-0.019,0.51,1
103,-1.023,0.462,1
104,-2.46,0.515,1
105,-1.243,0.471,1
106,-0.124,0.495,1
107,-0.204,0.485,1
109,-0.204,0.485,1
110,-0.393,0.478,1
112,0.912,0.655,1
114,-0.773,0.471,1
116,0.352,0.548,1
117,-0.019,0.51,1
118,-0.414,0.479,1
120,-1.119,0.455,1
122,-0.145,0.496,1
126,0.912,0.655,1
127,-0.204,0.485,1
128,-0.583,0.474,1
130,-0.124,0.495,1
132,-0.204,0.485,1
133,-0.145,0.496,1
135,-0.414,0.479,1
136,-0.461,0.472,1
137,-1.531,0.442,1
139,-0.773,0.471,1
144,-0.533,0.48,1
146,-0.393,0.478,1
147,-0.533,0.48,1
148,0.352,0.548,1
151,0.42,0.55,1
156,0.352,0.548,1
158,-0.259,0.483,1
159,0.912,0.655,1
160,0.912,0.655,1
161,-1.554,0.511,1
162,-0.124,0.495,1
164,0.42,0.55,1
165,-0.773,0.471,1
166,-0.515,0.476,1
167,-0.533,0.48,1
168,0.42,0.55,1
170,-1.774,0.454,1
171,0.912,0.655,1
172,0.42,0.55,1
