ff_id,SC15,SC15_SE
2105,-0.774,0.471
2106,0.911,0.655
2107,-0.867,0.466
2109,-0.533,0.48
2110,-1.89,0.457
2111,-0.867,0.466
2113,0.357,0.55
2114,-0.816,0.468
2115,-0.084,0.491
2116,0.911,0.655
2117,0.011,0.506
2118,0.911,0.655
2119,-0.774,0.471
2120,-1.476,0.465
2121,0.911,0.655
2122,-0.563,0.473
2123,0.25,0.521
2124,-0.415,0.48
2126,0.911,0.655
2127,-0.605,0.48
2128,0.911,0.655
2129,-0.392,0.478
2130,0.417,0.55
2132,-0.776,0.463
2133,-0.792,0.459
2136,0.25,0.521
2137,-0.062,0.491
2138,-0.062,0.491
2139,0.226,0.519
2140,-0.533,0.48
2141,-0.392,0.478
2142,-1.085,0.459
2144,-0.774,0.471
2146,-0.144,0.497
2147,-1.058,0.458
2148,-0.533,0.48
2149,0.25,0.521
2150,0.911,0.655
2151,-0.844,0.465
2152,-1.306,0.461
2153,-1.02,0.477
2160,-1.32,0.455
2161,-0.144,0.497
2162,0.911,0.655
2163,-0.533,0.48
2164,0.911,0.655
2165,-0.121,0.496
2173,0.911,0.655
2174,-0.533,0.48
2175,-0.867,0.466
2177,0.911,0.655
2178,-0.144,0.497
2179,-1.186,0.457
2180,-0.011,0.511
2181,0.911,0.655
2182,0.911,0.655
2183,0.911,0.655
2185,0.357,0.55
2187,-0.207,0.485
2188,-0.487,0.481
2189,0.357,0.55
2190,0.911,0.655
2191,-0.533,0.48
2192,-2.293,0.508
2193,0.357,0.55
2195,-1.037,0.46
2196,-0.45,0.47
2199,-0.533,0.48
2200,-1.961,0.482
2202,0.357,0.55
2204,-1.037,0.46
2206,-0.774,0.471
2207,0.911,0.655
2208,0.25,0.521
2209,-0.465,0.472
2210,0.911,0.655
2211,-0.392,0.478
2212,-0.842,0.468
2213,-0.44,0.481
2214,0.911,0.655
2216,-0.533,0.48
2217,-0.533,0.48
2218,0.911,0.655
2219,-0.894,0.468
2221,-0.533,0.48
2222,-0.774,0.471
2224,0.417,0.55
2225,0.357,0.55
2228,-1.233,0.456
2229,0.226,0.519
2230,0.911,0.655
2232,-0.144,0.497
2233,0.911,0.655
2234,0.911,0.655
2235,-1.085,0.459
2236,-0.392,0.478
2237,-0.51,0.471
2239,0.911,0.655
2240,-1.329,0.467
2241,0.011,0.506
2242,-0.192,0.489
2244,-0.062,0.491
2245,-1.246,0.464
2246,-0.207,0.485
2247,0.226,0.519
2248,-0.517,0.476
2249,-0.44,0.481
2250,-0.933,0.468
2251,-0.084,0.491
2253,-0.084,0.491
2254,0.911,0.655
2256,-0.533,0.48
2257,0.357,0.55
2259,-1.021,0.462
2260,-0.44,0.481
2263,0.911,0.655
2264,-1.037,0.46
2265,-2.032,0.48
2268,0.911,0.655
2269,-0.774,0.471
2270,-2.283,0.48
2272,0.911,0.655
2273,-0.207,0.485
2274,0.911,0.655
2275,-1.264,0.469
2277,0.25,0.521
2279,-0.798,0.47
2280,0.226,0.519
2282,-0.011,0.511
2283,-0.121,0.496
2284,-0.816,0.468
2287,-1.598,0.457
2288,-0.392,0.478
2290,0.011,0.506
2291,-0.207,0.485
2293,0.357,0.55
2294,-1.698,0.46
2296,-0.121,0.496
2297,-1.329,0.467
2298,0.911,0.655
2300,0.357,0.55
2301,0.911,0.655
2302,0.911,0.655
2303,-0.062,0.491
2304,0.357,0.55
2306,-1.037,0.46
2307,-0.121,0.496
2308,0.417,0.55
2309,0.911,0.655
2310,0.911,0.655
2311,-1.701,0.471
2314,-0.842,0.468
2315,-0.144,0.497
2317,-0.207,0.485
2319,0.911,0.655
2320,-0.774,0.471
2321,0.417,0.55
2322,-0.816,0.468
2324,0.911,0.655
2326,0.911,0.655
2327,-0.121,0.496
2328,0.226,0.519
2329,-0.774,0.471
2330,0.911,0.655
2331,-0.121,0.496
2333,0.911,0.655
2334,0.357,0.55
2335,0.226,0.519
2337,-0.062,0.491
2338,-0.298,0.483
2339,0.911,0.655
2340,-0.465,0.472
2341,0.417,0.55
2342,-0.121,0.496
2344,0.357,0.55
2345,-1.021,0.462
2346,0.417,0.55
2347,-0.307,0.49
2349,0.25,0.521
2350,0.911,0.655
2351,0.226,0.519
2352,0.911,0.655
2353,0.357,0.55
2355,-2.032,0.48
2357,0.911,0.655
2358,-1.516,0.49
2359,0.911,0.655
2360,0.011,0.506
2363,-0.392,0.478
2364,0.226,0.519
2365,-1.186,0.457
2371,-0.207,0.485
2372,0.226,0.519
2375,0.011,0.506
2378,-0.144,0.497
2379,-0.465,0.472
2380,-0.307,0.49
2381,-0.774,0.471
2382,0.911,0.655
2383,0.011,0.506
2385,0.226,0.519
2388,0.055,0.518
2389,-0.144,0.497
2392,-0.517,0.476
2393,0.911,0.655
2394,-0.121,0.496
2395,-0.144,0.497
2396,-1.085,0.459
2397,0.911,0.655
2398,-0.415,0.48
2399,0.226,0.519
2400,-0.121,0.496
2402,-0.144,0.497
2403,-0.121,0.496
2404,0.911,0.655
2405,0.911,0.655
2406,0.357,0.55
2408,-0.816,0.468
2409,-0.465,0.472
2410,-0.774,0.471
2411,0.357,0.55
2412,0.911,0.655
2414,0.357,0.55
