ff_id,SC15,SC15_SE,SC9,SC9_SE,Int15,Int15_SE,Ext15,Ext15_SE,Int9,Int9_SE,Ext9,Ext9_SE,city
1,-1.11,0.457,-0.195,0.982,0.843,0.3,-0.63,0.456,0.17,0.985,-0.103,0.966,1
2,-0.246,0.477,-1.03,0.447,0.004,0.331,1.474,0.272,0.041,0.405,0.981,0.236,1
4,-0.462,0.461,-0.134,0.486,0.876,0.307,-0.718,0.442,0.397,0.356,-0.102,0.319,1
5,-0.823,0.455,0.626,0.651,0.883,0.306,0.199,0.397,2.277,0.26,1.735,0.199,1
6,-0.388,0.475,-1.11,0.478,-0.771,0.493,-1.02,0.488,-0.738,0.529,-0.901,0.455,1
7,-0.294,0.909,-0.264,0.983,0.34,0.308,0.672,0.343,1.941,0.242,1.398,0.218,1
8,-0.909,0.449,0.26,0.576,-0.417,0.396,-0.673,0.456,1.148,0.288,0.577,0.247,1
11,0.058,0.482,-0.716,0.496,-1.349,0.61,-1.491,0.525,-1.311,0.655,-1.4,0.608,1
13,-0.584,0.459,-0.149,0.982,-0.06,0.356,1.142,0.306,0.043,0.985,0.355,0.962,1
16,1.311,0.723,0.362,0.988,-1.681,0.688,-2.238,0.625,-0.35,0.99,-0.652,0.974,1
19,-0.817,0.455,-0.073,0.507,0.538,0.32,0.334,0.389,0.947,0.3,0.838,0.24,1
20,-2.559,0.501,-1.018,0.45,2.031,0.315,0.815,0.324,0.355,0.364,0.628,0.256,1
21,0.923,0.641,0.156,0.985,-1.16,0.545,0.943,0.286,-0.2,0.988,0.212,0.962,1
22,0.409,0.543,0.947,0.707,0.165,0.354,0.439,0.374,-1.382,0.654,-1.364,0.58,1
23,0.082,0.978,0.356,0.59,-0.092,0.986,-0.003,0.959,-0.35,0.472,-0.143,0.32,1
24,1.118,0.675,-0.346,0.478,-1.476,0.602,-1.232,0.474,0.589,0.328,-0.048,0.309,1
26,-0.929,0.455,-0.779,0.455,0.237,0.33,0.234,0.373,0.152,0.98,0.208,0.957,1
28,0.258,0.531,-0.046,0.983,-0.228,0.386,2.503,0.291,-0.004,0.986,0.654,0.962,1
29,0.056,0.494,-0.7,0.473,-1.347,0.579,-0.848,0.454,-0.127,0.983,-0.089,0.959,1
30,-1.469,0.436,-0.359,0.981,1.775,0.309,1.378,0.302,0.357,0.985,0.432,0.962,1
31,-0.542,0.458,-0.138,0.493,0.012,0.348,-0.995,0.465,1.705,0.255,0.839,0.235,1
34,-0.017,0.977,-0.102,0.517,0.001,0.985,0.013,0.958,-0.049,0.423,-0.012,0.301,1
38,-0.223,0.478,-1.175,0.438,0.709,0.303,-0.683,0.443,0.966,0.298,1.079,0.225,1
41,-1.034,0.447,-0.054,0.509,-0.125,0.365,0.543,0.365,0.031,0.981,0.215,0.957,1
42,0.843,0.621,0.818,0.684,0.055,0.347,-0.135,0.407,1.038,0.297,1.067,0.222,1
43,0.815,0.616,-0.508,0.455,-0.209,0.357,0.313,0.389,-1.323,0.656,-1.29,0.564,1
44,0.081,0.978,-0.092,0.517,-0.04,0.985,-0.251,0.965,-0.356,0.459,-0.768,0.431,1
45,1.295,0.713,-0.023,0.541,-1.847,0.674,-2.202,0.611,-0.496,0.488,-0.445,0.375,1
46,0.112,0.979,0.371,0.592,-0.171,0.987,0.013,0.961,-0.824,0.543,-0.359,0.352,1
47,-2.077,0.446,-1.076,0.437,1.305,0.309,0.203,0.399,-1.177,0.623,-1.292,0.558,1
48,-0.2,0.483,0.775,0.679,1.187,0.302,1.073,0.301,0.105,0.982,0.153,0.957,1
49,1.019,0.652,0.575,0.616,-0.294,0.403,-1.236,0.482,0.194,0.376,-0.928,0.454,1
52,0.262,0.529,0.056,0.525,0.913,0.311,0.363,0.389,-0.481,0.485,-0.218,0.33,1
54,0.89,0.633,0.174,0.985,-0.38,0.384,-0.125,0.416,-0.105,0.986,-0.095,0.966,1
55,-0.535,0.457,-0.046,0.982,0.019,0.319,-1.295,0.494,0.01,0.985,-0.302,0.967,1
56,-0.158,0.976,-0.841,0.446,0.113,0.984,0.03,0.957,0.201,0.379,0.049,0.302,1
58,0.853,0.622,0.504,0.607,-0.034,0.347,-0.042,0.41,0.555,0.338,0.17,0.287,1
59,0.743,0.604,-0.907,0.439,0.123,0.358,-0.387,0.444,0.546,0.342,0.626,0.247,1
61,-0.035,0.49,0.009,0.982,-0.343,0.383,-0.202,0.417,-0.05,0.986,-0.04,0.965,1
63,-0.078,0.471,0.335,0.564,-0.604,0.424,-0.086,0.389,0.087,0.397,-0.443,0.369,1
66,1.136,0.679,-0.546,0.452,-1.56,0.619,-1.104,0.463,-1.409,0.664,-1.443,0.599,1
68,1.289,0.711,0.219,0.539,-1.704,0.649,-1.828,0.565,-0.996,0.586,-1.38,0.57,1
69,0.037,0.492,0.796,0.68,-0.332,0.376,-1.271,0.495,0.7,0.324,0.488,0.249,1
70,-0.03,0.475,0.038,0.982,-1.263,0.563,-0.382,0.41,-0.185,0.987,-0.059,0.965,1
71,1.305,0.716,0.012,0.501,-1.812,0.672,-2.259,0.626,-0.331,0.985,-0.608,0.967,1
73,-0.101,0.487,-1.053,0.438,1.318,0.305,1.704,0.262,1.525,0.259,1.738,0.205,1
74,1.053,0.662,-1.108,0.474,-1.248,0.547,-1.836,0.548,1.353,0.257,0.56,0.241,1
75,0.339,0.517,-0.378,0.475,-0.993,0.506,-0.757,0.456,-0.568,0.499,0.172,0.292,1
77,-0.143,0.48,-0.363,0.504,0.254,0.31,-0.624,0.446,0.222,0.381,0.428,0.266,1
78,-2.751,0.534,-0.599,0.983,1.367,0.301,1.84,0.274,0.376,0.985,0.675,0.961,1
79,0.9,0.635,0.176,0.985,-0.462,0.413,-0.084,0.394,-0.116,0.986,-0.082,0.965,1
81,-0.16,0.485,-0.08,0.982,0.28,0.326,1.148,0.29,0.068,0.985,0.311,0.962,1
82,0.467,0.551,0.127,0.984,-0.204,0.352,-0.984,0.481,-0.071,0.985,-0.295,0.967,1
83,0.152,0.496,-0.147,0.512,0.086,0.316,0.473,0.362,-1.356,0.646,-1.302,0.565,1
84,-0.641,0.469,-0.183,0.982,1.55,0.315,0.823,0.299,0.27,0.985,0.223,0.962,1
86,0.775,0.61,0.86,0.691,0.544,0.31,0.104,0.403,0.218,0.382,0.279,0.271,1
87,0.27,0.502,0.917,0.701,-0.477,0.406,0.116,0.412,-0.632,0.497,-1.042,0.488,1
88,0.175,0.505,-0.374,0.471,0.569,0.301,-0.653,0.443,1.195,0.294,0.745,0.241,1
89,-0.628,0.455,-0.113,0.533,0.276,0.333,0.061,0.402,-0.952,0.573,-1.189,0.528,1
90,-0.094,0.976,-0.563,0.47,-0.063,0.986,0.165,0.96,-0.677,0.525,-0.078,0.32,1
91,-0.31,0.476,-1.038,0.439,1.236,0.306,0.605,0.348,1.007,0.298,0.745,0.241,1
93,0.144,0.98,0.83,0.69,-0.085,0.985,-0.025,0.958,-0.035,0.421,0.048,0.307,1
95,-0.643,0.46,0.038,0.494,-0.207,0.356,-0.554,0.44,0.151,0.388,-0.691,0.418,1
96,-0.2,0.479,0.814,0.683,1.155,0.302,0.428,0.379,0.277,0.379,-0.497,0.378,1
97,-0.659,0.465,-0.176,0.529,1.815,0.311,0.376,0.389,0.491,0.328,-0.01,0.304,1
98,-0.981,0.456,-1.991,0.511,1.079,0.303,-0.082,0.403,-0.268,0.452,0.157,0.277,1
*,-0.076,0.977,0.274,0.56,-0.04,0.985,0.417,0.955,0.015,0.411,0.984,0.229,1
100,-0.028,0.489,0.103,0.542,1.051,0.309,1.889,0.272,1.714,0.266,1.5,0.216,1
101,0.182,0.516,0.79,0.679,-0.574,0.417,-0.394,0.437,0.21,0.38,0.885,0.236,1
102,0.313,0.909,0.772,0.678,-0.537,0.428,-0.887,0.463,0.293,0.386,1.395,0.21,1
103,-0.992,0.45,0.099,0.542,0.661,0.29,-0.089,0.405,0.996,0.309,0.538,0.26,1
104,-2.418,0.492,0.269,0.578,0.368,0.313,2.346,0.266,-0.527,0.488,0.783,0.246,1
105,-1.3,0.455,-0.028,0.519,0.876,0.306,-0.371,0.415,0.051,0.403,-0.05,0.302,1
106,-0.169,0.48,-0.101,0.487,-0.072,0.362,1.251,0.302,-1.038,0.567,-0.5,0.384,1
107,-0.409,0.469,-1.083,0.463,1.561,0.305,0.395,0.334,-0.488,0.49,-0.642,0.392,1
109,-0.215,0.472,-0.201,0.514,-0.295,0.378,0.451,0.386,-1.195,0.604,-0.938,0.471,1
110,-0.468,0.461,-0.005,0.493,0.324,0.325,0.406,0.384,0.549,0.475,0.743,0.312,1
112,0.781,0.61,-0.281,0.515,0.206,0.341,-0.324,0.429,0.51,0.345,0.228,0.282,1
114,-0.753,0.457,-0.139,0.982,-0.092,0.356,0.136,0.407,0.03,0.985,0.102,0.965,1
116,0.436,0.546,-0.549,0.44,-0.511,0.401,-0.238,0.434,-1.151,0.601,-0.993,0.48,1
117,-0.104,0.495,0.724,0.667,1.237,0.308,1.967,0.265,1.067,0.294,0.979,0.22,1
118,-0.433,0.463,0.171,0.534,0.733,0.313,0.017,0.392,0.763,0.322,0.323,0.28,1
120,-0.922,0.443,0.773,0.678,-0.985,0.502,-0.84,0.435,-0.2,0.984,-0.229,0.961,1
122,-0.185,0.483,-0.141,0.511,0.404,0.333,1.425,0.271,-0.383,0.475,0.141,0.284,1
123,0.099,0.98,0.812,0.687,-0.172,0.986,0.235,0.958,-0.519,0.495,0.37,0.26,1
125,0.086,0.98,0.788,0.683,0.116,0.984,-0.118,0.955,1.138,0.283,0.462,0.261,1
126,0.878,0.628,-0.241,0.517,-0.703,0.458,0.442,0.382,-0.76,0.524,-0.505,0.381,1
127,-0.107,0.474,-0.635,0.44,-0.788,0.466,-1.368,0.51,-1.303,0.652,-1.475,0.603,1
128,-0.749,0.454,-0.321,0.502,1.485,0.313,1.563,0.287,-1.081,0.583,-0.832,0.443,1
130,0.004,0.485,0.908,0.7,-0.55,0.428,-0.495,0.448,-0.841,0.545,-1.199,0.525,1
132,-0.273,0.471,-0.978,0.466,0.153,0.348,-0.18,0.422,-0.06,0.425,0.115,0.297,1
133,-0.115,0.485,-0.771,0.439,-0.297,0.39,1.029,0.283,0.19,0.383,-0.425,0.365,1
135,-0.401,0.463,0.245,0.539,0.299,0.309,0.674,0.357,-1.359,0.646,-1.29,0.562,1
136,-0.551,0.457,0.007,0.494,0.029,0.348,1.073,0.32,0.036,0.981,0.312,0.956,1
137,-1.583,0.43,-0.889,0.44,1.445,0.304,0.278,0.394,0.439,0.356,0.122,0.287,1
139,-0.822,0.455,-0.75,0.465,-0.012,0.352,1.121,0.293,0.851,0.302,0.546,0.251,1
144,-0.641,0.465,-2.246,0.546,0.368,0.309,1.215,0.277,-0.207,0.422,-0.622,0.404,1
146,-0.401,0.462,0.878,0.695,0.613,0.3,-0.333,0.424,-1.279,0.647,-1.46,0.598,1
147,-0.443,0.466,0.791,0.679,0.333,0.331,-0.851,0.453,0.649,0.331,-0.262,0.343,1
148,0.434,0.546,0.879,0.695,-0.213,0.386,0.249,0.392,-0.788,0.528,-0.217,0.32,1
149,-0.127,0.977,-0.171,0.538,0.172,0.983,0.12,0.954,0.976,0.297,0.768,0.249,1
150,-0.011,0.979,0.273,0.628,0.198,0.984,-0.118,0.955,1.335,0.278,0.494,0.269,1
151,0.233,0.511,-0.23,0.462,0.075,0.333,1.39,0.27,-1.152,0.586,-0.715,0.417,1
152,0.065,0.977,0.099,0.531,-0.002,0.984,-0.173,0.961,0.007,0.408,-0.369,0.368,1
156,0.427,0.546,-0.812,0.44,-0.841,0.481,-0.124,0.41,0.448,0.348,0.576,0.268,1
158,-0.194,0.469,0.312,0.582,-0.863,0.479,-1.045,0.469,0.887,0.309,0.512,0.263,1
159,0.535,0.574,0.024,0.494,1.513,0.312,0.833,0.343,0.977,0.298,0.89,0.234,1
160,0.884,0.628,-0.132,0.504,-0.417,0.399,-0.313,0.416,0.962,0.3,0.335,0.269,1
161,-1.729,0.484,-0.703,0.449,2.13,0.328,0.684,0.378,1.95,0.244,0.847,0.24,1
162,-0.287,0.477,-1.181,0.438,0.871,0.318,0.772,0.349,0.16,0.381,0.339,0.273,1
164,0.413,0.526,-0.428,0.473,-0.556,0.391,-1.172,0.474,-0.63,0.511,-0.637,0.391,1
165,-0.869,0.455,-0.463,0.463,0.389,0.333,1.554,0.276,1.339,0.272,1.219,0.223,1
166,-0.455,0.465,-0.174,0.502,0.947,0.313,-0.702,0.455,0.537,0.341,-0.433,0.371,1
167,-0.578,0.465,-1.344,0.439,0.338,0.33,0.176,0.389,0.214,0.98,0.24,0.957,1
168,0.16,0.506,-0.095,0.516,1.475,0.314,-0.053,0.407,0.695,0.32,0.014,0.306,1
170,-1.725,0.44,0.135,0.564,1.377,0.305,-0.611,0.428,0.231,0.981,-0.122,0.959,1
171,1.023,0.655,0.85,0.69,-0.955,0.494,-0.397,0.416,0.989,0.294,1.018,0.234,1
172,0.416,0.527,-0.034,0.52,-1.132,0.536,0.584,0.279,-1.011,0.566,-1.057,0.5,1
173,-0.553,0.467,-0.153,0.982,0.005,0.347,1.364,0.273,0.054,0.985,0.41,0.961,1
175,0.841,0.621,0.276,0.579,-0.421,0.4,0.527,0.371,-0.05,0.413,0.447,0.273,1
177,-0.088,0.977,0.042,0.562,0.002,0.984,0.306,0.955,0.112,0.397,0.752,0.244,1
178,0.979,0.65,0.197,0.986,-1.043,0.513,0.072,0.384,-0.201,0.987,-0.028,0.965,1
179,-0.18,0.483,0.12,0.543,0.214,0.327,1.597,0.263,0.468,0.344,1.21,0.221,1
181,-0.188,0.48,-1.422,0.479,1.29,0.303,0.061,0.408,-0.517,0.492,-0.002,0.294,1
182,0.603,0.566,0.853,0.69,-1.389,0.583,-0.514,0.41,0.244,0.377,0.571,0.256,1
183,0.271,0.982,0.894,0.702,-0.035,0.985,-0.485,0.967,0.191,0.385,-0.852,0.448,1
185,0.159,0.497,-0.58,0.44,-0.502,0.428,0.845,0.329,-0.381,0.446,-0.304,0.349,1
187,-0.753,0.452,-0.261,0.48,1.35,0.315,0.929,0.295,-0.845,0.55,-1.101,0.505,1
188,-0.476,0.466,0.183,0.536,-0.495,0.422,0.865,0.277,-0.061,0.982,0.249,0.955,1
190,1.24,0.706,0.323,0.987,-1.659,0.642,-1.584,0.548,-0.332,0.989,-0.472,0.971,1
191,-0.103,0.483,0.12,0.568,0.568,0.306,1.602,0.27,-1.399,0.644,-1.194,0.541,1
194,1.201,0.697,0.304,0.987,-1.596,0.629,-1.305,0.494,-0.316,0.989,-0.397,0.969,1
195,-0.557,0.465,-0.094,0.515,0.42,0.315,0.552,0.374,0.653,0.33,0.7,0.248,1
197,0.143,0.496,-0.119,0.514,-0.178,0.361,0.491,0.378,0.716,0.318,0.985,0.234,1
198,-0.464,0.461,0.716,0.666,0.117,0.351,1.378,0.29,0.562,0.345,0.963,0.229,1
200,-1.2,0.44,0.652,0.655,1.044,0.305,2.231,0.269,0.517,0.345,0.835,0.232,1
202,-1.685,0.439,-0.871,0.492,0.03,0.343,-0.102,0.409,0.577,0.338,0.503,0.255,1
203,0.018,0.491,-0.013,0.51,0.741,0.31,1.904,0.264,0.751,0.304,0.091,0.297,1
204,0.089,0.509,0.692,0.662,-0.238,0.391,0.254,0.392,1.187,0.284,2.222,0.202,1
205,-1.464,0.431,-0.747,0.488,-0.468,0.4,0.653,0.344,0.522,0.339,1.478,0.214,1
206,-0.269,0.976,-1.1,0.483,0.165,0.984,0.218,0.955,0.41,0.358,0.545,0.263,1
207,-2.259,0.488,-1.441,0.49,0.95,0.316,0.649,0.351,-0.468,0.481,-0.914,0.462,1
209,-0.674,0.461,-0.124,0.982,-0.527,0.427,0.376,0.38,-0.032,0.986,0.173,0.964,1
210,0.102,0.495,-0.914,0.488,0.049,0.35,0.501,0.364,-0.488,0.481,-0.124,0.318,1
211,0.681,0.598,0.069,0.984,0.351,0.33,1.18,0.324,0.033,0.985,0.247,0.963,1
212,-0.779,0.46,-0.187,0.982,0.431,0.329,0.952,0.348,0.12,0.985,0.305,0.963,1
213,0.185,0.981,0.853,0.694,-0.112,0.986,-0.112,0.96,-0.209,0.438,-0.237,0.33,1
216,-0.857,0.455,-0.512,0.5,1.189,0.299,0.226,0.392,0.645,0.322,-0.661,0.406,1
217,-0.109,0.488,0.854,0.69,0.894,0.304,0.109,0.405,-0.062,0.414,-0.922,0.456,1
218,0.704,0.598,0.243,0.575,0.316,0.31,0.742,0.346,-0.021,0.413,0.892,0.241,1
219,-0.581,0.457,-0.12,0.513,-1.356,0.579,-1.455,0.517,-0.253,0.44,-0.566,0.386,1
221,0.204,0.509,-0.452,0.503,0.764,0.324,0.357,0.397,-0.724,0.526,-0.755,0.422,1
222,-0.481,0.457,0.28,0.558,-0.108,0.347,-0.134,0.403,0.429,0.351,0.238,0.275,1
226,0.151,0.98,0.83,0.69,-0.027,0.985,-0.123,0.958,0.291,0.37,0.004,0.307,1
227,0.291,0.506,0.09,0.983,-1.034,0.51,-0.36,0.409,-0.17,0.987,-0.087,0.965,1
228,0.7,0.598,0.444,0.599,0.199,0.344,1.312,0.274,0.898,0.314,1.087,0.225,1
230,0.026,0.978,-0.676,0.475,-0.07,0.986,-0.269,0.971,-0.884,0.561,-1.179,0.531,1
231,0.689,0.576,0.871,0.693,-1.24,0.535,-2.104,0.591,1.017,0.308,0.343,0.294,1
232,-1.01,0.456,-0.05,0.518,-0.747,0.44,-0.313,0.412,0.628,0.339,1.263,0.221,1
234,0.193,0.981,0.86,0.696,-0.164,0.986,-0.066,0.961,-0.511,0.49,-0.293,0.353,1
237,0.353,0.539,0.098,0.975,0.401,0.335,-0.229,0.383,-0.463,0.481,-0.311,0.34,1
238,0.145,0.504,-0.209,0.468,0.3,0.315,0.682,0.35,-0.514,0.489,0.376,0.274,1
239,-0.211,0.479,0.777,0.676,0.749,0.297,1.086,0.309,-0.344,0.459,0.272,0.279,1
242,0.961,0.641,0.149,0.548,-0.454,0.401,-0.633,0.432,-0.053,0.414,-0.789,0.43,1
243,-1.414,0.46,-1.521,0.462,0.349,0.334,1.593,0.269,0.178,0.385,1.26,0.216,1
244,0.718,0.601,0.537,0.611,1.034,0.303,0.132,0.413,0.066,0.403,-0.89,0.449,1
245,-0.871,0.458,-0.565,0.457,1.021,0.307,1.685,0.263,1.038,0.294,0.725,0.251,1
246,-0.505,0.46,0.347,0.586,0.809,0.316,1.222,0.301,-1.161,0.598,-0.915,0.466,1
248,-1.676,0.447,-0.591,0.475,-1.343,0.578,-1.624,0.538,-0.247,0.452,0.274,0.278,1
249,-0.565,0.457,-0.132,0.513,0.174,0.337,1.129,0.275,-0.105,0.413,0.006,0.301,1
250,-0.631,0.451,0.737,0.669,-0.598,0.443,0.924,0.272,0.693,0.326,0.481,0.257,1
251,-1.615,0.442,-0.953,0.441,0.209,0.345,1.3,0.284,0.205,0.98,0.551,0.954,1
252,0.219,0.525,-0.592,0.453,0.87,0.315,0.445,0.404,0.546,0.472,0.598,0.314,1
253,-0.378,0.464,-1.192,0.451,-0.124,0.376,-0.458,0.44,-0.338,0.467,-0.969,0.47,1
254,0.474,0.552,0.134,0.984,-0.181,0.332,-1.139,0.475,-0.071,0.985,-0.337,0.967,1
255,-0.333,0.477,-0.159,0.982,1.405,0.31,1.717,0.279,0.248,0.985,0.441,0.961,1
258,-0.052,0.976,-0.424,0.483,0.012,0.984,-0.017,0.959,-0.179,0.433,-0.197,0.332,1
259,0.231,0.513,0.019,0.983,0.681,0.303,0.183,0.404,0.088,0.985,0.008,0.965,1
263,0.057,0.493,0.272,0.558,0.554,0.319,1.39,0.286,1.196,0.285,0.868,0.239,1
264,0.144,0.979,0.488,0.607,0.006,0.984,-0.286,0.961,0.253,0.369,-0.432,0.36,1
267,-1.366,0.434,-2.345,0.556,0.875,0.308,-0.411,0.42,1.204,0.291,0.72,0.256,1
269,0.153,0.52,-1.317,0.473,0.943,0.302,0.905,0.335,-0.262,0.449,0.332,0.276,1
271,0.025,0.491,0.181,0.534,1.347,0.299,0.414,0.381,0.923,0.299,0.523,0.25,1
272,0.665,0.592,0.126,0.531,0.964,0.303,0.414,0.388,-0.377,0.456,-0.431,0.356,1
274,-1.77,0.436,-1.37,0.452,0.452,0.325,2.257,0.274,1.796,0.25,2.095,0.203,1
275,-0.382,0.467,0.893,0.698,-0.268,0.365,-0.72,0.439,-1.343,0.657,-1.476,0.604,1
276,-0.381,0.462,0.833,0.686,-0.285,0.389,0.764,0.339,-0.71,0.51,-0.646,0.401,1
277,-1.085,0.453,-0.517,0.478,0.06,0.322,0.991,0.32,0.285,0.374,1.39,0.219,1
278,-0.585,0.898,-0.63,0.441,0.765,0.292,1.615,0.263,-0.2,0.439,0.32,0.275,1
279,-1.112,0.46,-0.066,0.517,0.602,0.313,1.501,0.293,-0.393,0.455,-0.058,0.303,1
280,0.774,0.609,0.877,0.695,0.58,0.306,0.179,0.391,0.107,0.392,-0.007,0.312,1
281,-0.768,0.457,-0.154,0.982,-0.631,0.442,0.77,0.29,-0.035,0.986,0.289,0.961,1
285,-0.007,0.978,0.22,0.575,0.114,0.984,-0.04,0.955,0.815,0.312,0.38,0.269,1
287,-1.414,0.446,0.691,0.662,1.36,0.304,-0.38,0.427,0.359,0.352,-0.067,0.32,1
288,0.704,0.599,0.962,0.711,1.231,0.31,0.403,0.39,-1.274,0.643,-1.419,0.589,1
289,-0.168,0.975,-0.438,0.454,0.209,0.983,0.096,0.954,1.043,0.29,0.71,0.249,1
291,-0.485,0.466,0.033,0.494,0.35,0.317,-0.757,0.441,-0.645,0.512,-0.273,0.328,1
292,-0.694,0.464,-0.521,0.49,1.274,0.309,1.617,0.28,0.486,0.347,1.045,0.232,1
293,0.38,0.519,0.165,0.573,-0.904,0.492,-0.648,0.428,-0.993,0.578,-1.244,0.54,1
294,0.814,0.617,0.979,0.714,0.23,0.342,0.854,0.34,-1.408,0.655,-1.325,0.572,1
295,-0.58,0.466,-0.728,0.465,-0.164,0.433,1.826,0.278,0.86,0.308,0.745,0.246,1
296,0.231,0.526,-0.205,0.468,0.535,0.298,1.418,0.277,-0.13,0.424,0.174,0.284,1
297,-2.518,0.496,-0.866,0.448,1.802,0.308,1.515,0.301,0.327,0.369,-0.001,0.311,1
298,-0.802,0.455,0.173,0.534,0.596,0.329,0.392,0.387,0.027,0.401,-0.141,0.321,1
299,-1.594,0.454,-2.035,0.505,1.083,0.295,0.33,0.374,-0.198,0.44,0.257,0.277,1
301,-0.1,0.486,-0.359,0.476,-0.435,0.401,0.88,0.276,0.574,0.337,0.757,0.227,1
302,0.799,0.617,0.117,0.985,-0.311,0.394,0.881,0.324,-0.073,0.986,0.179,0.963,1
304,-0.395,0.47,0.095,0.529,0.846,0.293,0.757,0.341,-0.658,0.539,-1.031,0.491,1
305,-0.424,0.469,-0.057,0.982,-0.758,0.465,-0.061,0.415,-0.086,0.986,0.043,0.965,1
306,-0.613,0.465,-0.446,0.453,0.665,0.322,1.204,0.314,0.178,0.98,0.386,0.955,1
307,-0.286,0.472,-0.065,0.982,0.715,0.318,-0.068,0.427,0.117,0.985,-0.017,0.965,1
309,-0.339,0.471,-0.113,0.982,0.838,0.298,0.836,0.321,0.152,0.985,0.224,0.962,1
312,-0.572,0.461,-0.24,0.481,-0.962,0.491,-0.98,0.457,-0.51,0.488,-1.061,0.49,1
313,-1.503,0.431,0.197,0.569,0.935,0.3,0.128,0.401,1.331,0.273,0.889,0.229,1
315,-0.261,0.471,0.876,0.694,0.453,0.332,1.182,0.296,-1.401,0.65,-1.266,0.558,1
317,-0.453,0.457,0.742,0.67,0.236,0.317,-1.071,0.469,1.783,0.252,0.444,0.264,1
318,-1,0.442,-0.854,0.492,-0.836,0.48,-1.025,0.484,0.963,0.303,1.092,0.231,1
319,1.056,0.663,-0.422,0.495,-1.465,0.599,-0.933,0.441,0.976,0.299,0.906,0.234,1
320,-0.478,0.466,0.836,0.687,0.853,0.301,-0.779,0.451,-0.166,0.44,-1.062,0.484,1
321,-1.187,0.438,0.796,0.68,0.294,0.31,0.066,0.397,-0.971,0.577,-1.212,0.533,1
322,-0.885,0.455,0.598,0.646,1.141,0.307,0.849,0.321,1.173,0.295,2.269,0.203,1
324,-0.042,0.976,-0.204,0.47,-0.086,0.986,0.172,0.959,-0.601,0.52,0.033,0.306,1
325,-1.869,0.46,-1.132,0.473,2.065,0.323,1.059,0.317,0.614,0.338,0.723,0.241,1
326,0.061,0.493,-0.517,0.451,0.279,0.341,0.868,0.33,1.37,0.268,1.397,0.216,1
327,-0.789,0.455,0.162,0.533,0.252,0.333,0.648,0.36,0.304,0.367,0.206,0.285,1
330,0.622,0.586,-0.653,0.454,0.336,0.33,1.387,0.285,0.113,0.981,0.397,0.955,1
331,-0.52,0.466,-0.515,0.499,0.444,0.315,-0.576,0.448,0.806,0.304,0.108,0.3,2
332,1.262,0.71,0.334,0.988,-1.695,0.648,-1.739,0.549,-0.341,0.99,-0.514,0.971,2
333,0.308,0.982,0.922,0.707,-0.166,0.986,-0.421,0.971,-0.571,0.49,-1.114,0.508,2
334,-0.038,0.484,0.838,0.69,-0.212,0.367,-0.65,0.438,-0.127,0.982,-0.267,0.961,2
335,0.981,0.647,0.868,0.693,-0.861,0.475,0.053,0.393,0.419,0.362,0.7,0.253,2
336,-0.569,0.457,0.723,0.667,1.025,0.308,1.037,0.288,0.365,0.363,0.548,0.258,2
337,0.628,0.571,0.202,0.984,-1.223,0.538,-1.57,0.526,-0.236,0.987,-0.432,0.969,2
339,-0.219,0.478,-0.068,0.518,0.907,0.302,0.687,0.277,-0.718,0.532,-1.066,0.496,2
340,0.251,0.528,-1.717,0.465,0.113,0.321,-0.209,0.401,1.485,0.269,1.952,0.206,2
341,0.071,0.98,0.777,0.681,0.182,0.984,-0.164,0.955,1.527,0.259,0.568,0.262,2
342,-0.535,0.466,0.056,0.561,-0.243,0.388,1.743,0.254,-0.925,0.542,-0.116,0.313,2
343,-0.681,0.455,-0.468,0.492,0.633,0.301,1.222,0.304,-0.87,0.542,-0.326,0.352,2
344,-0.7,0.464,0.839,0.688,-0.801,0.475,-0.809,0.455,-0.465,0.486,-1.058,0.489,2
345,0.019,0.977,-0.453,0.5,-0.122,0.987,-0.084,0.965,-1.03,0.581,-0.808,0.433,2
346,-0.459,0.457,0.833,0.686,-0.005,0.341,-0.137,0.401,-0.979,0.564,-0.726,0.405,2
347,0.168,0.979,0.291,0.583,-0.017,0.985,-0.416,0.967,-0.033,0.407,-0.906,0.46,2
348,-1.091,0.435,-0.014,0.52,-0.014,0.352,1.137,0.275,-0.049,0.407,-0.054,0.317,2
349,-1.216,0.435,0.187,0.535,0.057,0.355,-0.046,0.406,-0.741,0.528,-0.859,0.448,2
351,-1.067,0.444,-0.216,0.982,0.117,0.322,0.529,0.367,0.084,0.985,0.226,0.963,2
352,-0.228,0.976,-0.58,0.471,0.249,0.983,0.184,0.953,1.224,0.282,0.984,0.236,2
353,-0.599,0.465,-0.809,0.464,0.679,0.309,0.41,0.378,0.174,0.38,0.423,0.272,2
354,0.154,0.497,0.89,0.697,0.402,0.313,0.694,0.339,-0.823,0.538,-0.951,0.471,2
355,0.766,0.611,0.104,0.985,-0.12,0.344,0.942,0.309,-0.043,0.985,0.192,0.963,2
357,-0.267,0.902,-0.108,0.516,-0.017,0.355,1,0.327,1.844,0.251,2.229,0.2,2
358,-0.255,0.471,-1.734,0.499,-0.564,0.426,0.456,0.346,0.508,0.335,-0.277,0.349,2
359,0.069,0.978,0.348,0.589,-0.026,0.985,-0.05,0.958,0.032,0.397,-0.043,0.314,2
360,0.601,0.583,-0.412,0.475,0.81,0.312,0.759,0.341,0.748,0.324,0.955,0.239,2
