ff_id,SC15,SC15_SE,SC9,SC9_SE,Int15,Int15_SE,Ext15,Ext15_SE,Int9,Int9_SE,Ext9,Ext9_SE,city
1920,-1.515,0.443,-0.766,0.44,1.522,0.302,0.961,0.326,0.58,0.346,0.998,0.229,6
1921,1.303,0.714,0.309,0.561,-1.716,0.65,-2.013,0.576,-0.333,0.458,-0.879,0.445,6
1922,0.138,0.496,-0.345,0.501,-0.181,0.385,0.171,0.397,0.59,0.34,1.379,0.216,6
1923,0.752,0.606,-0.58,0.47,0.007,0.343,0.121,0.412,1.014,0.289,0.673,0.25,6
1924,-0.007,0.49,0.759,0.673,-0.471,0.399,-0.278,0.412,0.622,0.341,1.058,0.216,6
1925,-0.168,0.483,-1.27,0.473,0.273,0.325,0.359,0.373,-0.137,0.422,-0.137,0.321,6
1926,0.789,0.612,-0.042,0.519,-0.194,0.366,0.318,0.375,1.096,0.291,1.155,0.28,6
1927,-0.267,0.471,0.8,0.68,0.786,0.291,0.262,0.391,0.039,0.389,-0.233,0.321,6
1928,0.574,0.564,0.179,0.984,-0.862,0.442,-1.429,0.519,-0.179,0.986,-0.401,0.969,6
1929,-1.367,0.455,-0.331,0.478,0.769,0.301,2.563,0.29,0.184,0.385,0.294,0.285,6
1930,0.113,0.495,-0.672,0.475,0.651,0.319,-0.333,0.418,-1.228,0.636,-1.401,0.583,6
1932,0.429,0.545,0.772,0.721,0.541,0.308,-0.946,0.467,-1.103,0.611,-1.292,0.549,6
1934,1.124,0.675,0.905,0.7,-1.153,0.518,-1.042,0.461,0.295,0.368,0.43,0.264,6
1935,0.803,0.614,-0.151,0.492,0.096,0.359,-0.369,0.433,-0.555,0.497,0.06,0.298,6
1936,0.249,0.528,0.853,0.69,1.755,0.311,-0.138,0.41,0.171,0.388,-0.582,0.387,6
1937,0.342,0.537,-0.444,0.489,-0.277,0.394,0.59,0.35,-0.553,0.493,0.383,0.256,6
1938,0.576,0.536,0.967,0.711,-1.749,0.654,-2.169,0.606,-1.024,0.583,-0.95,0.46,6
1939,-0.688,0.446,0.704,0.664,-0.249,0.37,0.05,0.406,0.841,0.299,0.966,0.233,6
1941,0.707,0.599,-1.854,0.503,0.165,0.321,-0.178,0.411,-1.252,0.634,-1.323,0.567,6
1942,0.87,0.627,0.257,0.54,-0.817,0.478,0.939,0.331,-0.685,0.512,0.289,0.282,6
1943,-0.849,0.455,-0.473,0.452,0.776,0.298,0.624,0.358,0.796,0.315,1.014,0.228,6
1944,0.251,0.512,0.043,0.983,-0.337,0.398,0.246,0.374,-0.058,0.986,0.056,0.964,6
1945,-0.106,0.483,-0.732,0.453,0.07,0.341,1.389,0.281,-0.474,0.474,0.142,0.286,6
1946,1.351,0.724,1.083,0.734,-1.712,0.649,-1.614,0.513,-1.455,0.682,-1.597,0.636,6
1947,-1.043,0.443,0.783,0.678,0.755,0.291,-0.102,0.41,-0.689,0.52,-0.907,0.455,6
1948,0.09,0.501,-0.431,0.486,0.889,0.314,0.518,0.358,0.087,0.392,0.327,0.27,6
1949,0.008,0.977,0.303,0.563,-0.017,0.985,0.121,0.956,0.101,0.404,0.37,0.263,6
1951,0.802,0.614,0.927,0.704,0.173,0.347,0.797,0.341,-0.982,0.561,-0.56,0.386,6
