ff_id,SC9,SC9_SE
331,-0.582,0.506
333,0.865,0.684
334,0.865,0.684
335,0.865,0.684
336,0.865,0.684
339,-0.15,0.513
340,-1.723,0.49
341,0.865,0.684
342,0.007,0.558
343,-0.523,0.5
344,0.865,0.684
345,-0.516,0.505
346,0.865,0.684
347,0.194,0.566
348,0.056,0.527
349,0.238,0.538
352,-0.603,0.476
353,-0.849,0.473
354,0.865,0.684
357,-0.055,0.517
358,-1.824,0.544
359,0.309,0.576
360,-0.461,0.479
361,0.865,0.684
362,-1.504,0.507
364,-0.551,0.506
366,-0.638,0.464
367,-0.591,0.47
368,0.447,0.59
369,-0.205,0.504
371,-0.554,0.457
372,-0.31,0.492
374,0.238,0.538
375,-0.31,0.492
376,0.238,0.538
377,0.865,0.684
378,0.865,0.684
379,-0.591,0.478
380,-0.903,0.457
381,0.32,0.557
384,-0.95,0.482
385,0.309,0.576
386,-0.755,0.511
388,0.865,0.684
389,0.865,0.684
390,0.447,0.59
391,-0.01,0.511
393,0.865,0.684
394,0.865,0.684
395,-0.085,0.497
396,-0.332,0.474
397,-0.494,0.496
398,0.865,0.684
399,-1.146,0.456
401,-1.328,0.482
402,0.865,0.684
403,0.238,0.538
404,0.235,0.539
405,0.865,0.684
407,0.007,0.558
408,-0.42,0.493
409,0.238,0.538
410,-0.055,0.517
412,-1.104,0.495
413,0.447,0.59
414,-0.15,0.513
415,0.238,0.538
417,-1.512,0.48
421,0.865,0.684
423,0.865,0.684
425,0.865,0.684
426,-0.756,0.481
427,0.865,0.684
428,-0.616,0.502
429,-0.666,0.473
430,-0.313,0.513
438,0.865,0.684
441,0.078,0.575
442,-0.498,0.479
443,0.865,0.684
444,-0.087,0.495
445,0.309,0.576
446,-0.14,0.487
448,0.238,0.538
450,0.045,0.539
452,0.865,0.684
453,-1.425,0.493
455,-1.994,0.521
458,0.447,0.59
459,0.865,0.684
460,-0.657,0.498
461,0.238,0.538
462,0.447,0.59
464,-0.013,0.509
465,-2.275,0.566
470,0.045,0.539
472,0.865,0.684
473,-0.174,0.562
475,-0.394,0.477
479,0.865,0.684
480,-0.421,0.472
481,0.32,0.557
482,0.175,0.546
483,-0.01,0.511
484,-0.847,0.485
489,0.865,0.684
491,0.865,0.684
493,-0.765,0.456
495,0.235,0.539
496,-0.427,0.472
498,-0.31,0.489
499,0.32,0.557
500,0.447,0.59
503,0.865,0.684
504,0.238,0.538
505,0.32,0.557
506,0.309,0.576
509,0.194,0.566
510,-0.829,0.473
513,0.238,0.538
514,0.309,0.576
515,0.32,0.557
516,0.865,0.684
517,-1.434,0.483
518,-0.755,0.511
519,-0.387,0.504
522,-1.049,0.456
524,-1.767,0.562
525,0.865,0.684
526,-2.275,0.566
527,-0.521,0.476
528,0.865,0.684
531,-0.01,0.511
532,0.865,0.684
533,-1.16,0.47
534,-1.093,0.479
535,0.194,0.566
536,0.865,0.684
537,-0.387,0.504
538,0.865,0.684
539,0.865,0.684
541,0.056,0.527
544,-0.523,0.5
545,-2.275,0.566
550,0.865,0.684
551,0.309,0.576
552,0.865,0.684
557,-0.24,0.492
558,-1.135,0.455
560,0.112,0.53
561,0.309,0.576
562,0.175,0.546
564,0.235,0.539
565,-0.516,0.505
566,-1.12,0.483
567,0.865,0.684
570,-0.353,0.489
571,-1.055,0.601
573,0.32,0.557
575,0.447,0.59
578,0.865,0.684
579,-0.564,0.474
581,0.007,0.558
582,0.865,0.684
583,0.194,0.566
584,-0.115,0.505
585,-0.436,0.508
586,-0.755,0.511
587,-1.042,0.455
588,-0.387,0.504
589,-0.386,0.466
590,-1.124,0.481
593,0.045,0.539
595,-0.643,0.475
596,-0.286,0.482
598,-0.306,0.522
599,-0.582,0.506
600,-0.564,0.474
602,-0.195,0.545
603,0.175,0.546
604,0.309,0.576
605,0.865,0.684
610,-0.828,0.457
611,-0.24,0.492
613,-0.21,0.501
614,-0.534,0.49
616,-2.275,0.566
617,0.053,0.522
619,-0.386,0.512
622,0.194,0.566
623,-1.077,0.469
625,0.865,0.684
626,0.865,0.684
627,0.745,0.722
628,0.32,0.557
629,-0.636,0.457
632,0.865,0.684
635,-0.01,0.511
636,0.32,0.557
637,-0.364,0.503
640,0.865,0.684
642,-0.289,0.483
643,-0.192,0.511
646,0.238,0.538
647,-0.122,0.504
648,0.865,0.684
649,-0.386,0.512
650,0.865,0.684
651,0.238,0.538
653,0.194,0.566
656,0.865,0.684
657,0.865,0.684
658,-0.67,0.476
659,-0.93,0.472
660,0.865,0.684
661,0.194,0.566
662,-0.013,0.509
663,0.053,0.522
664,-1.384,0.476
666,0.007,0.558
667,0.32,0.557
668,-0.161,0.535
669,-0.759,0.471
671,-1.625,0.513
672,-0.472,0.471
674,-1.606,0.481
675,-1.473,0.479
676,-0.67,0.476
677,0.194,0.566
679,-1.685,0.484
680,0.865,0.684
682,-0.091,0.521
683,-0.809,0.456
685,-0.473,0.475
686,-0.114,0.506
687,-0.67,0.476
688,0.194,0.566
690,-0.36,0.503
691,0.447,0.59
692,-0.461,0.479
693,0.053,0.522
694,0.309,0.576
697,0.007,0.558
699,-0.989,0.471
700,0.865,0.684
701,0.865,0.684
702,0.045,0.539
703,-1.894,0.503
704,0.865,0.684
705,-0.676,0.464
706,0.865,0.684
707,-1.078,0.463
710,-0.956,0.463
711,-0.332,0.474
713,0.865,0.684
717,-0.161,0.535
718,0.865,0.684
719,-0.657,0.498
720,-0.494,0.496
721,0.053,0.522
722,0.865,0.684
723,-0.055,0.517
726,-0.087,0.495
727,-2.275,0.566
728,-2.275,0.566
729,0.447,0.59
732,0.865,0.684
734,-0.636,0.457
735,-0.161,0.535
737,0.112,0.53
739,0.865,0.684
740,0.194,0.566
741,0.007,0.558
742,-1.219,0.466
743,0.238,0.538
744,-0.903,0.457
745,-1.274,0.464
746,0.745,0.722
747,0.865,0.684
749,-0.649,0.477
751,0.447,0.59
753,0.865,0.684
754,0.865,0.684
759,-0.636,0.457
760,0.32,0.557
761,0.865,0.684
762,-0.986,0.463
763,0.309,0.576
764,0.865,0.684
765,-1.52,0.477
767,0.865,0.684
769,-0.612,0.463
770,0.309,0.576
771,0.238,0.538
772,-0.857,0.464
773,-1.112,0.487
774,-0.795,0.47
776,-1.385,0.465
780,0.865,0.684
781,0.32,0.557
783,0.865,0.684
784,-0.582,0.506
785,0.865,0.684
787,0.447,0.59
789,-0.313,0.513
791,0.007,0.558
796,-0.755,0.511
798,-1.087,0.463
799,0.865,0.684
800,-0.386,0.466
802,0.045,0.539
803,-0.14,0.487
804,-0.308,0.497
805,-0.554,0.457
806,-1.606,0.481
807,-2.275,0.566
809,-0.582,0.506
810,0.238,0.538
811,0.447,0.59
812,0.238,0.538
813,0.865,0.684
814,-0.461,0.479
815,-0.161,0.535
816,0.865,0.684
820,-0.18,0.51
821,-1.085,0.463
822,-1.083,0.469
824,-1.504,0.507
826,-1.561,0.48
827,-0.66,0.475
828,-0.286,0.482
830,-0.881,0.481
831,0.32,0.557
833,-1.114,0.455
835,-0.37,0.49
838,-0.516,0.505
839,-0.114,0.506
840,0.447,0.59
841,0.865,0.684
842,-0.556,0.497
843,0.865,0.684
844,-0.568,0.477
845,0.865,0.684
846,0.053,0.522
847,-0.523,0.509
848,0.865,0.684
849,0.865,0.684
850,-1.087,0.463
851,-1.128,0.49
852,0.865,0.684
853,0.056,0.527
854,0.865,0.684
855,0.865,0.684
856,0.32,0.557
858,0.865,0.684
859,0.865,0.684
860,0.053,0.522
862,0.309,0.576
863,0.447,0.59
865,0.194,0.566
866,0.309,0.576
868,0.007,0.558
869,-0.538,0.476
870,0.865,0.684
871,-1.994,0.524
872,-0.516,0.505
873,-0.857,0.464
874,0.865,0.684
875,-0.495,0.494
876,0.007,0.558
880,-0.377,0.477
882,0.865,0.684
883,-1.303,0.466
885,0.32,0.557
888,-1.645,0.479
889,-0.365,0.506
890,0.007,0.558
10177,0.007,0.558
892,-1.9,0.516
896,-0.49,0.475
897,-0.955,0.484
898,0.865,0.684
899,0.865,0.684
900,-0.495,0.494
901,-0.436,0.508
903,0.056,0.527
904,0.447,0.59
906,-0.143,0.524
908,-0.956,0.456
910,0.865,0.684
911,-0.363,0.498
912,-0.091,0.521
913,0.447,0.59
914,-0.085,0.497
915,-0.055,0.517
917,0.235,0.539
919,0.238,0.538
922,0.865,0.684
923,0.309,0.576
924,0.865,0.684
925,-2.275,0.566
926,0.865,0.684
927,-1.994,0.524
928,0.865,0.684
929,-1.819,0.508
930,-0.37,0.49
932,0.045,0.539
933,0.865,0.684
934,0.865,0.684
935,-0.516,0.505
936,-0.013,0.509
937,0.235,0.539
938,-0.956,0.496
10184,0.447,0.59
940,0.865,0.684
941,-0.896,0.471
943,0.865,0.684
945,-0.921,0.521
946,-0.657,0.498
948,0.865,0.684
950,0.194,0.566
951,-0.636,0.457
952,-1.994,0.521
953,-1.894,0.503
954,0.865,0.684
956,-1.819,0.508
957,0.056,0.527
958,0.865,0.684
959,0.053,0.522
960,-0.306,0.522
961,-1.504,0.507
963,-2.275,0.566
964,0.865,0.684
965,0.056,0.527
967,-0.565,0.469
968,0.865,0.684
969,-1.466,0.554
970,0.865,0.684
972,0.447,0.59
973,-1.894,0.503
975,0.194,0.566
976,-0.554,0.457
977,0.865,0.684
978,-0.534,0.49
979,0.016,0.525
981,-1.994,0.521
982,-1.093,0.469
984,0.865,0.684
985,-0.863,0.479
986,0.865,0.684
987,0.32,0.557
988,-1.894,0.503
989,0.865,0.684
990,0.309,0.576
991,0.056,0.527
992,-0.431,0.478
993,-0.514,0.471
994,-0.15,0.513
10019,0.238,0.538
998,0.865,0.684
10100,-1.606,0.481
10153,0.865,0.684
10023,0.865,0.684
10033,0.112,0.53
1003,-0.762,0.474
10107,0.865,0.684
10187,0.865,0.684
1008,-0.755,0.511
10014,0.865,0.684
10136,-0.191,0.492
10137,0.112,0.53
10018,0.865,0.684
1019,0.007,0.558
10148,0.194,0.566
1022,0.865,0.684
1025,0.865,0.684
10128,0.447,0.59
1027,0.865,0.684
1028,0.045,0.539
10115,-2.275,0.566
10021,0.194,0.566
10185,0.235,0.539
10013,0.447,0.59
10237,-2.275,0.566
1035,0.865,0.684
10047,-0.612,0.489
10064,0.865,0.684
1039,0.053,0.522
10015,0.447,0.59
1041,-0.091,0.521
10011,-1.356,0.484
10152,-0.495,0.494
10034,-0.091,0.521
1048,0.056,0.527
10050,-0.77,0.467
1051,-0.332,0.474
1053,-2.275,0.566
1054,-0.588,0.477
10089,0.056,0.527
1056,-0.378,0.48
10055,0.865,0.684
1058,0.056,0.527
1059,-0.18,0.51
10032,-1.425,0.493
10039,-0.765,0.456
1063,0.447,0.59
10012,-0.538,0.476
10063,0.865,0.684
10170,0.235,0.539
10084,0.447,0.59
10046,-0.956,0.474
10027,0.865,0.684
1071,-0.636,0.457
1072,-1.392,0.465
1074,-0.161,0.535
10009,0.865,0.684
10083,-0.572,0.496
10085,0.447,0.59
10077,-0.286,0.479
10004,-0.161,0.535
10104,0.865,0.684
10081,0.865,0.684
10054,0.865,0.684
10076,0.865,0.684
10036,-0.353,0.489
10078,-0.882,0.508
10088,-0.744,0.476
10030,-1.687,0.482
1091,-0.295,0.507
10005,-0.998,0.462
10114,-0.31,0.492
10090,-0.652,0.457
1099,-0.286,0.482
10164,-1.819,0.508
10048,-1.35,0.464
10190,0.007,0.558
1104,0.447,0.59
1105,-0.679,0.485
10010,-0.554,0.477
1108,-0.353,0.489
10201,0.112,0.53
1110,-1.088,0.482
1111,0.32,0.557
10154,-0.755,0.511
10003,-0.286,0.482
10075,0.309,0.576
10176,-0.986,0.463
10038,-0.309,0.5
10053,0.32,0.557
10116,0.865,0.684
1122,-0.01,0.511
10236,-1.572,0.518
10096,-1.793,0.512
10043,-2.275,0.566
1128,-0.715,0.502
10127,-0.771,0.484
10173,0.865,0.684
1133,0.865,0.684
1134,0.309,0.576
1135,-0.192,0.511
10210,0.865,0.684
10024,0.865,0.684
1139,0.194,0.566
10022,0.865,0.684
1143,-0.927,0.455
10026,0.865,0.684
10188,-1.261,0.47
1146,-0.407,0.496
1147,-0.712,0.457
1148,0.865,0.684
1149,0.007,0.558
10007,0.865,0.684
10079,-1.494,0.488
10159,-0.754,0.486
1155,-0.01,0.511
1156,0.447,0.59
10131,-0.715,0.479
10218,-0.013,0.509
10120,-0.306,0.522
1161,0.309,0.576
10125,0.447,0.59
1163,0.309,0.576
10008,0.865,0.684
10146,-0.18,0.51
1168,0.865,0.684
10130,0.32,0.557
10052,-1.997,0.605
1173,0.865,0.684
1175,-0.551,0.506
10141,-0.466,0.488
1179,-1.029,0.474
10095,0.175,0.546
10045,0.447,0.59
10037,0.007,0.558
1183,0.865,0.684
1184,-0.42,0.493
1185,0.007,0.558
10144,-0.31,0.489
1187,-0.407,0.496
1188,-0.167,0.563
10109,0.865,0.684
10183,-0.603,0.476
1191,0.309,0.576
1193,-0.161,0.535
1194,0.32,0.557
10031,0.865,0.684
10178,-0.715,0.502
10151,-0.739,0.456
10042,0.865,0.684
1199,-0.085,0.497
10117,0.045,0.539
10099,-0.395,0.479
1204,0.053,0.522
10020,-0.998,0.481
10069,0.007,0.604
10145,0.865,0.684
10066,0.865,0.684
10025,-0.01,0.511
10110,-0.091,0.521
10056,0.865,0.684
1213,0.235,0.539
1214,-0.075,0.516
10098,-1.723,0.49
10057,0.447,0.59
10006,0.112,0.53
1219,-0.192,0.511
10126,0.238,0.871
10073,0.865,0.684
10060,-0.735,0.476
10062,-1.023,0.491
10142,-1.329,0.496
1229,0.447,0.59
1230,-0.591,0.474
10065,-0.143,0.524
10061,-0.332,0.474
10103,0.194,0.566
1236,0.865,0.684
1237,-0.998,0.481
1238,0.194,0.566
10051,0.309,0.576
1240,-1.994,0.524
1244,-0.274,0.5
10213,0.32,0.557
10093,-0.01,0.511
10092,0.865,0.684
10149,0.238,0.538
10041,-0.826,0.482
10169,-0.205,0.504
1252,-0.762,0.474
10070,-0.568,0.477
1255,-0.37,0.49
1256,0.32,0.557
1257,0.865,0.684
1260,-0.087,0.495
1262,-0.173,0.504
10059,-0.819,0.479
1264,-0.467,0.48
1266,-0.161,0.535
10068,-1.093,0.479
1268,0.447,0.59
10058,-1.306,0.467
1271,-0.739,0.456
1272,0.865,0.684
1273,-0.516,0.505
1274,0.056,0.527
10168,0.865,0.684
1276,0.865,0.684
10035,-1.247,0.478
1278,-0.728,0.463
10172,0.238,0.538
10186,0.32,0.557
1281,0.865,0.684
10016,-0.521,0.476
10002,-0.514,0.471
10040,0.056,0.527
10080,-0.472,0.471
10071,-0.313,0.513
10191,0.447,0.59
1288,0.447,0.59
1289,0.175,0.546
1290,0.053,0.522
10028,0.053,0.522
10086,0.32,0.557
10017,-0.055,0.517
10067,0.865,0.684
1297,0.865,0.684
1299,0.112,0.53
10049,0.235,0.539
10072,0.865,0.684
1304,0.865,0.684
1306,0.194,0.566
10155,-0.192,0.511
1309,0.865,0.684
10121,-1.211,0.476
10087,0.865,0.684
10029,-0.41,0.486
10044,-0.77,0.467
10082,0.865,0.684
1316,0.865,0.684
1317,-1.107,0.475
1318,-0.055,0.517
1321,0.865,0.684
1322,-0.013,0.509
1323,-0.622,0.463
1324,0.056,0.527
1325,0.007,0.558
1327,-0.852,0.472
1328,-0.332,0.474
1329,-1.361,0.472
1332,-0.295,0.507
1333,-1.128,0.49
1335,-0.551,0.506
1336,-0.973,0.478
1338,-0.642,0.489
1341,-1.023,0.491
1342,0.865,0.684
1343,-0.24,0.492
1344,-0.67,0.476
1345,-0.549,0.498
1346,-2.275,0.566
1348,-0.911,0.475
1349,-0.501,0.472
1350,0.238,0.538
1351,-2.275,0.566
1353,-0.087,0.495
1354,-0.893,0.456
1355,0.056,0.527
1356,-0.114,0.506
1357,-0.31,0.492
1358,0.447,0.59
1359,0.865,0.684
1360,0.447,0.59
1363,0.309,0.576
1364,0.007,0.558
1365,0.007,0.558
1366,-0.085,0.497
1368,0.865,0.684
1369,-0.831,0.474
1370,-0.755,0.511
1371,0.865,0.684
1374,0.865,0.684
1375,-0.92,0.466
1377,-0.213,0.599
1379,-0.313,0.513
1380,-0.21,0.501
1383,-2.275,0.566
1384,0.865,0.684
1385,-0.013,0.509
1386,-0.582,0.506
1390,0.865,0.684
1392,-0.556,0.497
1393,-0.551,0.506
1396,-0.735,0.476
1397,0.865,0.684
1398,-0.01,0.511
1399,-0.332,0.474
1400,0.865,0.684
1401,-0.055,0.517
1402,0.865,0.684
1403,-1.171,0.467
1404,-2.275,0.566
1407,0.865,0.684
1408,0.32,0.557
1410,-0.286,0.482
1411,0.309,0.576
1413,0.238,0.538
1416,-0.551,0.506
1417,-0.173,0.504
1418,0.865,0.684
1419,-0.407,0.496
1421,-0.739,0.456
1422,0.078,0.575
1426,0.865,0.684
1427,-0.075,0.516
1428,0.309,0.576
1430,0.865,0.684
1431,0.238,0.538
1432,-0.627,0.474
1437,-0.481,0.487
1438,-0.091,0.521
1439,0.447,0.59
1440,0.865,0.684
1441,0.865,0.684
1442,-1.195,0.488
1443,0.865,0.684
1445,0.865,0.684
1447,0.865,0.684
1448,0.235,0.539
1449,-0.652,0.457
1450,-0.055,0.517
1451,0.32,0.557
1452,0.007,0.558
1453,-1.256,0.567
1454,0.865,0.684
1455,0.865,0.684
1456,0.865,0.684
1457,-0.554,0.457
1459,-0.638,0.469
1462,-0.903,0.457
1463,-0.286,0.482
1464,0.865,0.684
1465,-0.122,0.504
1469,0.865,0.684
1470,0.053,0.522
1471,-0.37,0.49
1475,0.865,0.684
1476,-0.295,0.507
1478,-0.309,0.5
1479,0.238,0.538
1482,-0.091,0.521
1484,0.865,0.684
1487,0.865,0.684
1489,0.865,0.684
1490,-0.091,0.521
1493,0.32,0.557
1497,-1.368,0.464
1499,0.865,0.684
1501,-1.227,0.455
1502,-0.978,0.484
1503,-0.085,0.497
1505,-1.68,0.493
1507,-0.241,0.485
1508,0.865,0.684
1509,0.32,0.557
1510,0.865,0.684
1511,0.865,0.684
1512,-0.286,0.482
1513,0.194,0.566
1515,-0.273,0.507
1518,0.865,0.684
1519,0.447,0.59
1521,0.865,0.684
1522,-1.17,0.49
1524,0.447,0.59
1525,-0.161,0.535
1526,0.865,0.684
1527,0.112,0.53
1528,0.865,0.684
1530,0.865,0.684
1532,-0.286,0.482
1535,-0.202,0.494
1537,-0.309,0.5
1538,0.82,0.705
1542,0.447,0.59
1545,-0.777,0.491
1548,0.865,0.684
1549,0.194,0.566
1550,0.865,0.684
1551,0.045,0.539
1552,0.007,0.558
1553,-0.755,0.511
1554,-0.915,0.456
1555,0.865,0.684
1557,0.056,0.527
1558,-0.498,0.479
1561,0.865,0.684
1563,0.865,0.684
1566,0.447,0.59
1567,-1.329,0.496
1569,-0.332,0.474
1571,0.865,0.684
1572,-1.819,0.508
1573,0.865,0.684
1577,-1.014,0.488
1579,0.865,0.684
1582,-1.249,0.477
1583,-0.053,0.566
1586,0.865,0.684
1587,-0.173,0.504
1588,0.865,0.684
1589,-1.68,0.493
1591,-1.572,0.518
1592,0.059,0.587
1594,0.007,0.558
1597,-0.241,0.485
1598,-0.306,0.522
1599,-0.461,0.479
1601,0.235,0.539
1604,0.238,0.538
1605,0.309,0.576
1607,0.865,0.684
1609,0.865,0.684
1610,-0.18,0.51
1612,0.447,0.59
1614,-0.431,0.478
1616,-0.554,0.457
1619,0.045,0.539
1620,-0.387,0.481
1622,0.309,0.576
1623,-0.295,0.507
1624,-0.41,0.486
1627,-0.715,0.502
1630,0.447,0.59
1632,-0.205,0.504
1635,0.194,0.566
1636,0.865,0.684
1638,0.865,0.684
1639,0.865,0.684
1641,-1.045,0.463
1642,-0.143,0.524
1644,-0.365,0.506
1647,0.447,0.59
1649,0.112,0.53
1650,0.865,0.684
1652,0.865,0.684
1655,0.865,0.684
1656,-0.223,0.5
1657,0.865,0.684
1659,-1.068,0.456
1660,-0.486,0.477
1664,-0.295,0.507
1665,0.865,0.684
1666,-0.286,0.482
1667,0.865,0.684
1668,0.045,0.539
1670,-0.554,0.457
1671,0.865,0.684
1672,-1.135,0.455
1675,0.865,0.684
1676,-1.572,0.518
1677,-0.15,0.513
1680,0.865,0.684
1681,-0.18,0.51
1682,-1.052,0.465
1683,0.865,0.684
1685,-1.049,0.485
1686,-0.551,0.506
1687,-1.308,0.492
1690,-0.013,0.509
1691,-0.161,0.535
1692,-0.987,0.456
1694,0.007,0.558
1696,-0.748,0.473
1697,-0.516,0.505
1698,0.865,0.684
1699,0.238,0.538
1701,0.238,0.538
1702,0.865,0.684
1703,0.32,0.557
1704,0.865,0.684
1706,-0.811,0.477
1708,0.865,0.684
1710,-0.205,0.504
1711,-0.143,0.524
1712,-0.143,0.524
1713,-0.99,0.456
1714,0.865,0.684
1716,0.865,0.684
1719,-1.425,0.468
1720,0.194,0.566
1721,0.238,0.538
1722,0.32,0.557
1723,-1.114,0.455
1724,-0.755,0.511
1725,0.865,0.684
1726,0.865,0.684
1727,-1.468,0.465
1728,-0.085,0.497
1730,0.32,0.557
1731,0.865,0.684
1734,-0.591,0.47
1735,-0.612,0.484
1736,0.865,0.684
1739,-0.521,0.476
1742,0.865,0.684
1744,0.865,0.684
1745,-0.241,0.485
1746,-1.112,0.456
1748,0.235,0.539
1749,0.865,0.684
1751,-0.332,0.474
1752,-1.329,0.496
1753,-1.249,0.477
1754,-1.402,0.487
1755,-0.013,0.509
1756,0.865,0.684
1757,-0.756,0.481
1758,0.286,0.641
1759,0.056,0.527
1760,0.865,0.684
1761,-0.386,0.466
1762,0.238,0.538
1764,0.447,0.59
1765,0.235,0.539
1767,-1.128,0.49
1769,-0.835,0.463
1772,-0.309,0.5
1773,-1.819,0.508
1776,0.235,0.539
1777,0.865,0.684
1779,-0.901,0.462
1780,-0.582,0.506
1781,0.865,0.684
1782,0.053,0.522
1783,0.309,0.576
1784,-0.914,0.481
1785,0.447,0.59
1786,0.865,0.684
1788,-0.728,0.463
1789,-0.93,0.472
1790,-1.757,0.498
1791,0.32,0.557
1793,-1.364,0.465
1794,-0.771,0.484
1795,0.865,0.684
1796,0.865,0.684
1797,0.865,0.684
1798,0.865,0.684
1799,-0.01,0.511
1801,0.865,0.684
1802,-0.679,0.485
1804,0.309,0.576
1806,0.056,0.527
1807,-0.757,0.468
1808,-1.184,0.469
1809,-0.755,0.511
1810,0.056,0.527
1811,0.056,0.527
1812,-0.809,0.473
1813,-0.387,0.504
1815,0.865,0.684
1816,0.865,0.684
1817,-0.893,0.456
1818,-0.332,0.474
1820,0.865,0.684
1821,0.447,0.59
1822,0.865,0.684
1823,-0.811,0.456
1826,0.056,0.527
1827,0.865,0.684
1828,-0.091,0.521
1829,-0.306,0.522
1831,-0.286,0.482
1832,0.865,0.684
1836,0.007,0.558
1837,0.865,0.684
1838,0.865,0.684
1841,0.865,0.684
1842,-0.308,0.497
1843,-0.956,0.456
1845,0.447,0.59
1846,0.32,0.557
1847,-1.994,0.524
1848,-0.309,0.5
1849,-0.431,0.478
1850,0.865,0.684
1851,-0.828,0.457
1852,0.309,0.576
1853,0.447,0.59
1854,0.865,0.684
1855,-0.771,0.48
1856,-0.407,0.496
1857,-1.572,0.518
1858,0.865,0.684
1859,0.865,0.684
1860,0.32,0.557
1861,-0.554,0.457
1862,-2.275,0.566
1863,0.865,0.684
1866,-0.161,0.535
1867,-0.724,0.456
1868,0.865,0.684
1870,-0.974,0.455
1872,0.053,0.522
1873,-0.603,0.476
1874,-0.306,0.522
1875,-0.01,0.511
1876,0.175,0.546
1883,0.056,0.527
1884,0.238,0.538
1885,-1.723,0.49
1886,0.309,0.576
1890,-0.847,0.485
1891,0.865,0.684
1892,-0.627,0.474
1894,0.865,0.684
1895,-0.394,0.477
1897,-0.075,0.516
