ff_id,SC9,SC9_SE
2,-0.924,0.467
4,0.112,0.53
5,0.865,0.684
6,-0.956,0.496
8,0.309,0.576
11,-0.882,0.508
19,-0.01,0.511
20,-0.836,0.471
22,0.865,0.684
23,0.309,0.576
24,-0.364,0.503
26,-0.591,0.478
29,-0.826,0.482
31,-0.085,0.497
34,-0.091,0.521
38,-1.135,0.455
41,-0.01,0.511
42,0.865,0.684
43,-0.49,0.475
44,-0.18,0.51
45,-0.161,0.535
46,0.309,0.576
47,-1.022,0.455
48,0.865,0.684
49,0.447,0.59
52,0.056,0.527
56,-0.857,0.464
58,0.447,0.59
59,-0.936,0.455
63,0.32,0.557
66,-0.591,0.47
68,0.053,0.522
69,0.865,0.684
71,-0.085,0.497
73,-0.961,0.455
74,-1.301,0.491
75,-0.431,0.478
77,-0.436,0.508
83,-0.273,0.507
86,0.865,0.684
87,0.865,0.684
88,-0.223,0.5
89,-0.161,0.535
90,-0.627,0.474
91,-0.99,0.456
93,0.865,0.684
95,0.235,0.539
96,0.865,0.684
97,-0.161,0.535
98,-1.894,0.518
*,0.32,0.557
100,0.175,0.546
101,0.865,0.684
102,0.865,0.684
103,0.175,0.546
104,0.447,0.59
105,0.056,0.527
106,0.112,0.53
107,-1.112,0.487
109,-0.313,0.513
110,0.235,0.539
112,-0.306,0.522
116,-0.554,0.457
117,0.865,0.684
118,0.238,0.538
120,0.865,0.684
122,-0.18,0.51
123,0.865,0.684
125,0.865,0.684
126,-0.306,0.522
127,-0.652,0.457
128,-0.387,0.504
130,0.865,0.684
132,-1.093,0.479
133,-0.765,0.456
135,0.238,0.538
136,0.235,0.539
137,-0.828,0.457
139,-0.762,0.474
144,-2.275,0.566
146,0.865,0.684
147,0.865,0.684
148,0.865,0.684
149,-0.145,0.553
150,0.293,0.627
151,-0.14,0.487
152,0.053,0.522
156,-0.796,0.456
158,0.309,0.576
159,0.235,0.539
160,-0.205,0.504
161,-0.559,0.47
162,-1.154,0.455
164,-0.521,0.476
165,-0.31,0.489
166,-0.205,0.504
167,-1.302,0.456
168,-0.15,0.513
170,0.194,0.566
171,0.865,0.684
172,-0.091,0.521
175,0.194,0.566
177,0.007,0.558
179,0.175,0.546
181,-1.308,0.492
182,0.865,0.684
183,0.865,0.684
185,-0.554,0.457
187,-0.286,0.482
188,0.238,0.538
191,0.007,0.558
195,-0.075,0.516
197,-0.15,0.513
198,0.865,0.684
200,0.865,0.684
202,-0.882,0.508
203,-0.01,0.511
204,0.865,0.684
205,-0.707,0.501
206,-1.179,0.498
207,-1.572,0.518
210,-1.003,0.504
213,0.865,0.684
216,-0.582,0.506
217,0.865,0.684
218,0.194,0.566
219,-0.18,0.51
221,-0.582,0.506
222,0.32,0.557
226,0.865,0.684
228,0.447,0.59
230,-0.826,0.482
231,0.865,0.684
232,0.056,0.527
234,0.865,0.684
238,-0.087,0.495
239,0.865,0.684
242,0.045,0.539
243,-1.543,0.486
244,0.447,0.59
245,-0.322,0.483
246,0.309,0.576
248,-0.612,0.484
249,-0.091,0.521
250,0.865,0.684
251,-0.903,0.457
252,-0.49,0.475
253,-1.259,0.47
258,-0.46,0.487
263,0.32,0.557
264,0.447,0.59
267,-2.275,0.566
269,-1.166,0.486
271,0.238,0.538
272,0.053,0.522
274,-1.187,0.472
275,0.865,0.684
276,0.865,0.684
277,-0.46,0.487
278,-0.554,0.457
279,-0.055,0.517
280,0.865,0.684
285,0.194,0.566
287,0.865,0.684
288,0.865,0.684
289,-0.332,0.474
291,0.235,0.539
292,-0.523,0.5
293,0.007,0.558
294,0.865,0.684
295,-0.466,0.488
296,-0.087,0.495
297,-0.641,0.469
298,0.238,0.538
299,-1.941,0.514
301,-0.378,0.48
304,0.053,0.522
306,-0.332,0.474
312,-0.286,0.482
313,0.309,0.576
315,0.865,0.684
317,0.865,0.684
318,-0.882,0.508
319,-0.523,0.5
320,0.865,0.684
321,0.865,0.684
322,0.865,0.684
324,-0.087,0.495
325,-1.17,0.49
326,-0.421,0.472
327,0.238,0.538
330,-0.591,0.474
